UID,JobIDRaw,JobName,TimelimitRaw,Submit,Start,End,State,Priority,ElapsedRaw,QOS,Restarts,NNodes,Planned,Flags
1016,457,test_user17-3YPi,74,2025-07-29T17:07:58,2025-07-29T17:07:59,2025-07-29T17:55:06,COMPLETED,86400,2827,normal,0,1,00:00:01,SchedMain;StartReceived
1019,458,test_user20-nH0S,40,2025-07-29T17:07:58,2025-07-29T17:07:59,2025-07-29T17:33:44,COMPLETED,86400,1545,normal,0,5,00:00:01,SchedMain;StartReceived
1018,459,test_user19-Hwsh,95,2025-07-29T17:07:58,2025-07-29T17:07:59,2025-07-29T18:42:22,COMPLETED,86400,5663,normal,0,6,00:00:01,SchedMain;StartReceived
1017,460,test_user18-PHzy,32,2025-07-29T17:07:58,2025-07-29T17:07:59,2025-07-29T17:17:15,COMPLETED,86400,556,normal,0,6,00:00:01,SchedMain;StartReceived
1014,461,test_user15-wIWr,119,2025-07-29T17:08:04,2025-07-29T17:33:55,2025-07-29T19:25:54,COMPLETED,86400,6719,normal,0,8,00:25:51,SchedMain;StartReceived
1003,462,test_user4-JO6t,14,2025-07-29T17:08:04,2025-07-29T18:42:22,2025-07-29T18:48:59,COMPLETED,86400,397,normal,0,8,01:34:18,SchedMain;StartReceived
1015,463,test_user16-ZPct,114,2025-07-29T17:08:04,2025-07-29T18:48:59,2025-07-29T19:23:49,COMPLETED,86400,2090,normal,0,8,01:40:55,SchedMain;StartReceived
1001,464,test_user2-MhjD,45,2025-07-29T17:08:04,2025-07-29T17:34:39,2025-07-29T18:10:05,COMPLETED,86400,2126,normal,0,2,00:26:35,SchedBackfill;StartReceived
1008,465,test_user9-X3Ld,48,2025-07-29T17:08:04,2025-07-29T19:23:49,2025-07-29T19:34:34,COMPLETED,86400,645,normal,0,8,02:15:45,SchedMain;StartReceived
1010,466,test_user11-iiDw,118,2025-07-29T17:08:04,2025-07-29T17:34:09,2025-07-29T18:50:10,COMPLETED,86400,4561,normal,0,1,00:26:05,SchedBackfill;StartReceived
1013,467,test_user14-nXJy,53,2025-07-29T17:08:04,2025-07-29T19:25:54,2025-07-29T19:44:06,COMPLETED,86400,1092,normal,0,6,02:17:50,SchedMain;StartReceived
1000,468,test_user1-vXVX,49,2025-07-29T17:08:04,2025-07-29T19:34:34,2025-07-29T19:45:17,COMPLETED,86400,643,normal,0,7,02:26:29,SchedMain;StartReceived
1009,469,test_user10-EfUZ,86,2025-07-29T17:08:05,2025-07-29T19:45:17,2025-07-29T20:26:12,COMPLETED,86400,2455,normal,0,8,02:37:12,SchedMain;StartReceived
1002,470,test_user3-FfPb,77,2025-07-29T17:08:05,2025-07-29T20:01:45,2025-07-29T21:07:14,COMPLETED,86400,3929,normal,0,7,02:53:40,SchedMain;StartReceived
1011,471,test_user12-0OTy,29,2025-07-29T17:08:05,2025-07-29T17:08:09,2025-07-29T17:33:55,COMPLETED,86400,1546,normal,0,2,00:00:04,SchedBackfill;StartReceived
1004,472,test_user5-o2MA,54,2025-07-29T17:08:05,2025-07-29T17:34:39,2025-07-29T18:15:34,COMPLETED,86400,2455,normal,0,2,00:26:34,SchedBackfill;StartReceived
1007,473,test_user8-lRgv,58,2025-07-29T17:08:05,2025-07-29T20:26:12,2025-07-29T20:52:37,COMPLETED,86400,1585,normal,0,8,03:18:06,SchedMain;StartReceived
1012,474,test_user13-nSDN,87,2025-07-29T17:08:06,2025-07-29T20:52:37,2025-07-29T21:03:27,COMPLETED,86400,650,normal,0,5,03:44:31,SchedMain;StartReceived
1005,475,test_user6-is3Z,23,2025-07-29T17:08:06,2025-07-29T18:10:11,2025-07-29T18:32:17,COMPLETED,86400,1326,normal,0,2,01:02:05,SchedBackfill;StartReceived
1006,476,test_user7-SkbE,95,2025-07-29T17:08:06,2025-07-29T21:00:10,2025-07-29T21:11:26,COMPLETED,86400,676,normal,0,8,03:52:04,SchedMain;StartReceived
1001,477,test_user2-2SQq,51,2025-07-29T17:09:10,2025-07-29T21:07:15,2025-07-29T21:38:31,COMPLETED,86400,1876,normal,0,6,03:58:05,SchedMain;StartReceived
1014,478,test_user15-100Z,43,2025-07-29T17:09:13,2025-07-29T17:55:11,2025-07-29T18:29:42,COMPLETED,86400,2071,normal,0,1,00:45:58,SchedBackfill;StartReceived
1015,479,test_user16-5Bqt,110,2025-07-29T17:09:31,2025-07-29T21:11:26,2025-07-29T22:08:18,COMPLETED,86400,3412,normal,0,8,04:01:55,SchedMain;StartReceived
1011,480,test_user12-ztqb,36,2025-07-29T17:09:33,2025-07-29T19:30:17,2025-07-29T20:01:45,COMPLETED,86400,1888,normal,0,6,02:20:44,SchedBackfill;StartReceived
1005,481,test_user6-Xg81,103,2025-07-29T17:09:45,2025-07-29T21:34:31,2025-07-29T22:38:52,COMPLETED,86400,3861,normal,0,2,04:24:46,SchedMain;StartReceived
1004,482,test_user5-iOVP,9,2025-07-29T17:09:49,2025-07-29T21:46:21,2025-07-29T21:54:33,COMPLETED,86400,492,normal,0,7,04:36:32,SchedMain;StartReceived
1019,483,test_user20-JATn,77,2025-07-29T17:10:07,2025-07-29T21:38:32,2025-07-29T22:37:03,COMPLETED,86400,3511,normal,0,2,04:28:25,SchedBackfill;StartReceived
1006,484,test_user7-bP1l,24,2025-07-29T17:10:10,2025-07-29T20:03:20,2025-07-29T20:06:04,COMPLETED,86400,164,normal,0,4,02:53:10,SchedBackfill;StartReceived
1016,485,test_user17-hq0s,16,2025-07-29T17:10:13,2025-07-29T21:54:34,2025-07-29T22:07:24,COMPLETED,86400,770,normal,0,7,04:44:21,SchedMain;StartReceived
1008,486,test_user9-R1WB,119,2025-07-29T17:10:29,2025-07-29T22:07:24,2025-07-29T22:29:52,COMPLETED,86400,1348,normal,0,4,04:56:55,SchedMain;StartReceived
1003,487,test_user4-iSBf,28,2025-07-29T17:10:38,2025-07-29T22:08:18,2025-07-29T22:10:23,COMPLETED,86400,125,normal,0,7,04:57:40,SchedMain;StartReceived
1017,488,test_user18-oDs5,68,2025-07-29T17:10:40,2025-07-29T18:15:42,2025-07-29T18:22:30,COMPLETED,86400,408,normal,0,1,01:05:02,SchedBackfill;StartReceived
1010,489,test_user11-ReGT,82,2025-07-29T17:10:43,2025-07-29T21:38:32,2025-07-29T22:06:12,COMPLETED,86400,1660,normal,0,1,04:27:49,SchedBackfill;StartReceived
1015,490,test_user16-DeAs,80,2025-07-29T17:10:53,2025-07-29T22:10:23,2025-07-29T23:04:52,COMPLETED,86400,3269,normal,0,6,04:59:30,SchedMain;StartReceived
1011,491,test_user12-ZJCa,65,2025-07-29T17:11:08,2025-07-29T22:13:12,2025-07-29T22:59:28,COMPLETED,86400,2776,normal,0,3,05:02:04,SchedMain;StartReceived
1009,492,test_user10-4m7q,36,2025-07-29T17:11:26,2025-07-29T18:15:42,2025-07-29T18:44:45,COMPLETED,86400,1743,normal,0,1,01:04:16,SchedBackfill;StartReceived
1019,493,test_user20-Dsy9,66,2025-07-29T17:11:30,2025-07-29T22:29:52,2025-07-29T23:31:18,COMPLETED,86400,3686,normal,0,3,05:18:22,SchedMain;StartReceived
1016,494,test_user17-lO8e,47,2025-07-29T17:11:38,2025-07-29T22:40:08,2025-07-29T23:27:02,COMPLETED,86400,2814,normal,0,8,05:28:30,SchedMain;StartReceived
1007,495,test_user8-q2z7,81,2025-07-29T17:11:42,2025-07-29T23:04:52,2025-07-29T23:34:47,COMPLETED,86400,1795,normal,0,6,05:53:10,SchedMain;StartReceived
1002,496,test_user3-b5nC,15,2025-07-29T17:12:02,2025-07-29T23:27:02,2025-07-29T23:35:08,COMPLETED,86400,486,normal,0,7,06:15:00,SchedMain;StartReceived
1001,497,test_user2-IBxN,52,2025-07-29T17:12:05,2025-07-29T20:06:21,2025-07-29T20:09:36,COMPLETED,86400,195,normal,0,4,02:54:16,SchedBackfill;StartReceived
1017,498,test_user18-vtqj,69,2025-07-29T17:12:25,2025-07-29T23:31:18,2025-07-30T00:17:01,COMPLETED,86400,2743,normal,0,6,06:18:53,SchedMain;StartReceived
1014,499,test_user15-JU6D,68,2025-07-29T17:12:26,2025-07-29T23:35:08,2025-07-30T00:19:07,COMPLETED,86400,2639,normal,0,7,06:22:42,SchedMain;StartReceived
1018,500,test_user19-Jbhl,51,2025-07-29T17:12:29,2025-07-29T18:22:42,2025-07-29T18:55:04,COMPLETED,86400,1942,normal,0,1,01:10:13,SchedBackfill;StartReceived
1013,501,test_user14-jsgd,40,2025-07-29T17:12:42,2025-07-29T21:09:29,2025-07-29T21:34:31,COMPLETED,86400,1502,normal,0,6,03:56:47,SchedBackfill;StartReceived
1012,502,test_user13-Mx6t,94,2025-07-29T17:12:43,2025-07-29T23:35:08,2025-07-30T00:18:17,COMPLETED,86400,2589,normal,0,6,06:22:25,SchedMain;StartReceived
1000,503,test_user1-FpDE,115,2025-07-29T17:12:55,2025-07-30T00:26:01,2025-07-30T02:18:23,COMPLETED,86400,6742,normal,0,8,07:13:06,SchedMain;StartReceived
1004,504,test_user5-Bsoi,86,2025-07-29T17:13:05,2025-07-30T00:36:13,2025-07-30T00:39:32,COMPLETED,86400,199,normal,0,7,07:23:08,SchedMain;StartReceived
1005,505,test_user6-gCL9,78,2025-07-29T17:13:28,2025-07-30T00:39:32,2025-07-30T01:47:37,COMPLETED,86400,4085,normal,0,7,07:26:04,SchedMain;StartReceived
