Elapsedmins, Nodes
47,1
25,5
94,6
9,6
111,8
6,8
34,8
35,2
10,8
76,1
18,6
10,7
40,8
65,7
25,2
40,2
26,8
10,5
22,2
11,8
31,6
34,1
56,8
31,6
64,2
8,7
58,2
2,4
12,7
22,4
2,7
6,1
27,1
54,6
46,3
29,1
61,3
46,8
29,6
8,7
3,4
45,6
43,7
32,1
25,6
43,6
112,8
3,7
68,7
56,3
93,8
46,6
16,4
20,6
12,1
19,5
41,4
19,1
40,1
88,5
44,5
4,4
6,4
5,5
15,2
57,8
9,1
8,5
33,4
70,6
55,4
8,8
15,5
67,2
12,2
18,1
18,2
3,5
24,4
63,4
9,2
6,7
8,3
70,1
13,7
33,3
108,6
5,5
10,8
59,6
32,7
29,5
5,4
84,5
93,3
44,2
19,6
12,8
34,1
44,2
31,5
8,5
26,4
3,1
8,2
7,3
19,1
24,5
36,1
13,2
5,3
25,1
5,3
25,1
2,7
40,1
16,1
8,4
6,2
14,2
21,2
4,2
10,4
6,1
4,4
17,3
3,1
12,1
13,1
4,5
2,4
2,2
2,5
11,1
5,4
24,2
11,1
3,4
4,1
20,2
5,3
7,3
44,1
18,3
15,4
6,5
3,1
4,1
2,4
32,1
13,3
7,5
5,1
11,1
2,2
7,5
40,1
2,4
4,4
12,3
4,1
14,1
8,6
5,1
13,1
39,1
2,2
17,1
8,1
40,1
20,2
19,1
2,4
17,2
6,1
3,3
5,5
14,1
2,2
19,2
12,1
20,1
15,2
10,2
3,3
10,2
8,1
8,3
13,1
8,2
19,1
14,1
15,1
5,1
7,1
16,2
7,2
10,4
5,2
4,3
2,3
3,2
5,1
3,2
12,2
2,1
4,2
4,1
3,2
20,1
4,1
15,1
17,1
3,4
4,1
6,1
2,2
6,1
4,1
2,1
2,1
3,1
6,2
6,3
3,2
