UID,GID,JobIDRaw,Group,Account,JobName,TimelimitRaw,Submit,Start,End,State,ExitCode,ReservationId,Reservation,Priority,Eligible,Constraints,SystemCPU,CPUTimeRAW,ElapsedRaw,Layout,NTasks,QOSREQ,QOS,Restarts,WorkDir,ConsumedEnergyRaw,FailedNode,AveDiskRead,AveDiskWrite,MaxDiskRead,MaxDiskWrite,Partition,Reason,Suspended,AllocNodes,AveRSS,MaxRSS,DerivedExitCode,AveVMSize,MaxVMSize,ReqMem,ReqNodes,NNodes,Planned,PlannedCPURAW,NCPUS,UserCPU,ReqCPUS,TotalCPU,TRESUsageInTot,TRESUsageOutTot,ReqTRES,AllocTRES,TRESUsageInMax,TRESUsageOutMax,Flags,Comment,SystemComment,AdminComment
1009,1009,4625,test_user10,testing,test_user10-zJlA,5,2025-07-31T10:12:47,2025-07-31T13:13:57,2025-07-31T13:18:41,COMPLETED,0:0,1,system_testing,86400,2025-07-31T10:12:47,,00:00:00,145408,284,,,,normal,0,/home/test_user10/stochsimsched,,,,,,,batch-cpu,None,00:00:00,4,,,0:0,,,4M,4,4,03:01:10,2782720,512,00:00:00,256,00:00:00,,,billing=256;cpu=256;mem=4M;node=4,billing=512;cpu=512;node=4,,,SchedBackfill;StartReceived,,,
1007,1007,4626,test_user8,testing,test_user8-DMrY,1,2025-07-31T10:13:05,2025-07-31T12:54:26,2025-07-31T12:55:52,TIMEOUT,0:0,1,system_testing,86400,2025-07-31T10:13:05,,00:00:00,66048,86,,,,normal,0,/home/test_user8/stochsimsched,,,,,,,batch-cpu,None,00:00:00,6,,,0:15,,,6M,6,6,02:41:21,3717504,768,00:00:00,384,00:00:00,,,billing=384;cpu=384;mem=6M;node=6,billing=768;cpu=768;node=6,,,SchedBackfill;StartReceived,,,
1006,1006,4627,test_user7,testing,test_user7-rCyA,5,2025-07-31T10:13:06,2025-07-31T13:18:57,2025-07-31T13:21:10,COMPLETED,0:0,1,system_testing,86400,2025-07-31T10:13:06,,00:00:00,68096,133,,,,normal,0,/home/test_user7/stochsimsched,,,,,,,batch-cpu,None,00:00:00,4,,,0:0,,,4M,4,4,03:05:51,2854656,512,00:00:00,256,00:00:00,,,billing=256;cpu=256;mem=4M;node=4,billing=512;cpu=512;node=4,,,SchedBackfill;StartReceived,,,
1005,1005,4628,test_user6,testing,test_user6-pduA,3,2025-07-31T10:13:13,2025-07-31T13:21:25,2025-07-31T13:23:39,COMPLETED,0:0,1,system_testing,86400,2025-07-31T10:13:13,,00:00:00,120064,134,,,,normal,0,/home/test_user6/stochsimsched,,,,,,,batch-cpu,None,00:00:00,7,,,0:0,,,7M,7,7,03:08:12,5058816,896,00:00:00,448,00:00:00,,,billing=448;cpu=448;mem=7M;node=7,billing=896;cpu=896;node=7,,,SchedMain;StartReceived,,,
1011,1011,4629,test_user12,testing,test_user12-Aeih,9,2025-07-31T10:13:29,2025-07-31T12:38:56,2025-07-31T12:42:45,COMPLETED,0:0,1,system_testing,86400,2025-07-31T10:13:29,,00:00:00,29312,229,,,,normal,0,/home/test_user12/stochsimsched,,,,,,,batch-cpu,None,00:00:00,1,,,0:0,,,1M,1,1,02:25:27,558528,128,00:00:00,64,00:00:00,,,billing=64;cpu=64;mem=1M;node=1,billing=128;cpu=128;node=1,,,SchedBackfill;StartReceived,,,
1012,1012,4630,test_user13,testing,test_user13-yiaB,10,2025-07-31T10:13:31,2025-07-31T13:21:25,2025-07-31T13:27:59,COMPLETED,0:0,1,system_testing,86400,2025-07-31T10:13:31,,00:00:00,100864,394,,,,normal,0,/home/test_user13/stochsimsched,,,,,,,batch-cpu,None,00:00:00,2,,,0:0,,,2M,2,2,03:07:54,1443072,256,00:00:00,128,00:00:00,,,billing=128;cpu=128;mem=2M;node=2,billing=256;cpu=256;node=2,,,SchedMain;StartReceived,,,
1019,1019,4631,test_user20,testing,test_user20-jwpx,3,2025-07-31T10:13:32,2025-07-31T13:23:55,2025-07-31T13:27:22,TIMEOUT,0:0,1,system_testing,86400,2025-07-31T10:13:32,,00:00:00,264960,207,,,,normal,0,/home/test_user20/stochsimsched,,,,,,,batch-cpu,None,00:00:00,10,,,0:15,,,10M,10,10,03:10:23,7310720,1280,00:00:00,640,00:00:00,,,billing=640;cpu=640;mem=10M;node=10,billing=1280;cpu=1280;node=10,,,SchedMain;StartReceived,,,
1014,1014,4632,test_user15,testing,test_user15-PW5l,3,2025-07-31T10:13:41,2025-07-31T13:25:15,2025-07-31T13:28:22,TIMEOUT,0:0,1,system_testing,86400,2025-07-31T10:13:41,,00:00:00,167552,187,,,,normal,0,/home/test_user15/stochsimsched,,,,,,,batch-cpu,None,00:00:00,7,,,0:15,,,7M,7,7,03:11:34,5149312,896,00:00:00,448,00:00:00,,,billing=448;cpu=448;mem=7M;node=7,billing=896;cpu=896;node=7,,,SchedMain;StartReceived,,,
1018,1018,4633,test_user19,testing,test_user19-wnCe,10,2025-07-31T10:13:43,2025-07-31T13:27:26,2025-07-31T13:37:27,TIMEOUT,0:0,1,system_testing,86400,2025-07-31T10:13:43,,00:00:00,615424,601,,,,normal,0,/home/test_user19/stochsimsched,,,,,,,batch-cpu,None,00:00:00,8,,,0:0,,,8M,8,8,03:13:43,5950976,1024,00:00:00,512,00:00:00,,,billing=512;cpu=512;mem=8M;node=8,billing=1024;cpu=1024;node=8,,,SchedMain;StartReceived,,,
1001,1001,4634,test_user2,testing,test_user2-hs7Y,1,2025-07-31T10:13:56,2025-07-31T13:28:26,2025-07-31T13:29:52,TIMEOUT,0:0,1,system_testing,86400,2025-07-31T10:13:56,,00:00:00,88064,86,,,,normal,0,/home/test_user2/stochsimsched,,,,,,,batch-cpu,None,00:00:00,8,,,0:15,,,8M,8,8,03:14:30,5975040,1024,00:00:00,512,00:00:00,,,billing=512;cpu=512;mem=8M;node=8,billing=1024;cpu=1024;node=8,,,SchedMain;StartReceived,,,
