UID,JobIDRaw,JobName,TimelimitRaw,Submit,Start,End,State,Priority,ElapsedRaw,QOS,Restarts,NNodes,Planned,Flags
1011,6082,test_user12-s07o,10,2025-08-02T09:07:48,2025-08-02T09:07:49,2025-08-02T09:09:22,COMPLETED,86400,93,normal,0,4,00:00:01,SchedMain;StartReceived
1013,6083,test_user14-doIN,10,2025-08-02T09:07:48,2025-08-02T09:07:49,2025-08-02T09:09:04,COMPLETED,86400,75,normal,0,9,00:00:01,SchedMain;StartReceived
1010,6086,test_user11-YcID,10,2025-08-02T09:07:48,2025-08-02T09:31:01,2025-08-02T09:32:45,COMPLETED,86400,104,normal,0,8,00:23:13,SchedMain;StartReceived
1014,6087,test_user15-fvfJ,10,2025-08-02T09:07:48,2025-08-02T09:32:02,2025-08-02T09:33:26,COMPLETED,86400,84,normal,0,8,00:24:13,SchedMain;StartReceived
1018,6089,test_user19-WAzq,10,2025-08-02T09:07:49,2025-08-02T09:32:45,2025-08-02T09:34:14,COMPLETED,86400,89,normal,0,7,00:24:56,SchedMain;StartReceived
1016,6090,test_user17-8CFU,10,2025-08-02T09:07:49,2025-08-02T09:33:26,2025-08-02T09:35:21,COMPLETED,86400,115,normal,0,6,00:25:36,SchedMain;StartReceived
1019,6091,test_user20-dHze,10,2025-08-02T09:07:50,2025-08-02T09:32:50,2025-08-02T09:34:19,COMPLETED,86400,89,normal,0,5,00:25:00,SchedBackfill;StartReceived
1003,6092,test_user4-RkLA,10,2025-08-02T09:07:57,2025-08-02T09:34:14,2025-08-02T09:35:57,COMPLETED,86400,103,normal,0,9,00:26:17,SchedMain;StartReceived
1000,6093,test_user1-8Gmg,10,2025-08-02T09:07:57,2025-08-02T09:10:19,2025-08-02T09:12:08,COMPLETED,86400,109,normal,0,2,00:02:22,SchedBackfill;StartReceived
1008,6094,test_user9-teMo,10,2025-08-02T09:07:57,2025-08-02T09:34:19,2025-08-02T09:36:00,COMPLETED,86400,101,normal,0,4,00:26:22,SchedMain;StartReceived
1001,6095,test_user2-30tx,10,2025-08-02T09:07:57,2025-08-02T09:35:21,2025-08-02T09:37:15,COMPLETED,86400,114,normal,0,5,00:27:24,SchedMain;StartReceived
1005,6096,test_user6-3MUA,10,2025-08-02T09:07:57,2025-08-02T09:29:20,2025-08-02T09:30:55,COMPLETED,86400,95,normal,0,2,00:21:23,SchedBackfill;StartReceived
