min, reserved, allocated, completing
1,20,0,0
2,2,18,0
3,4,16,0
4,6,14,0
5,3,17,0
6,2,18,0
7,4,16,0
8,4,16,0
9,3,17,0
10,6,14,0
11,0,20,0
12,2,18,0
13,8,12,0
14,2,18,0
15,0,20,0
16,0,20,0
17,3,17,0
18,0,20,0
19,1,19,0
20,1,19,0
21,1,19,0
22,4,16,0
23,3,17,0
24,2,18,0
25,3,17,0
26,4,16,0
27,2,18,0
28,0,20,0
29,1,19,0
30,0,20,0
31,7,13,0
32,6,14,0
33,0,20,0
34,3,17,0
35,4,16,0
36,4,16,0
37,5,15,0
38,3,17,0
39,1,19,0
40,0,20,0
41,0,20,0
42,7,13,0
43,7,13,0
44,0,20,0
45,3,17,0
46,2,18,0
47,1,19,0
48,0,20,0
49,0,20,0
50,3,17,0
51,4,16,0
52,4,16,0
53,4,16,0
54,8,12,0
55,2,18,0
56,3,17,0
57,0,20,0
58,6,14,0
59,2,18,0
60,0,20,0
61,3,17,0
62,8,12,0
63,0,20,0
64,0,20,0
65,2,18,0
66,2,18,0
67,1,19,0
68,1,19,0
69,5,15,0
70,5,15,0
71,0,20,0
72,0,20,0
73,3,17,0
74,0,20,0
75,5,15,0
76,1,19,0
77,2,18,0
78,2,18,0
79,1,19,0
80,5,15,0
81,5,15,0
82,4,16,0
83,5,15,0
84,2,18,0
85,3,17,0
86,0,20,0
87,2,18,0
88,2,18,0
89,0,20,0
90,3,17,0
91,0,20,0
92,2,18,0
93,0,20,0
94,3,17,0
95,0,20,0
96,8,12,0
97,4,16,0
98,0,20,0
99,2,18,0
100,2,18,0
101,3,17,0
102,4,16,0
103,3,17,0
104,1,19,0
105,0,20,0
106,8,12,0
107,5,15,0
108,0,20,0
109,0,20,0
110,0,20,0
111,5,15,0
112,5,15,0
113,8,12,0
114,2,18,0
115,1,19,0
116,1,19,0
117,0,20,0
118,5,15,0
119,2,18,0
120,1,19,0
121,5,15,0
122,0,20,0
123,0,20,0
124,0,20,0
125,3,17,0
126,3,17,0
127,0,20,0
128,1,19,0
129,7,13,0
130,0,20,0
131,5,15,0
132,0,20,0
133,0,20,0
134,5,15,0
135,0,20,0
136,2,18,0
137,4,16,0
138,1,19,0
139,3,17,0
140,2,18,0
141,5,15,0
142,5,15,0
143,3,17,0
144,0,20,0
145,4,16,0
146,4,16,0
147,0,20,0
148,0,20,0
149,8,12,0
150,0,20,0
151,0,20,0
152,3,17,0
153,2,18,0
154,1,19,0
155,1,19,0
156,0,20,0
157,1,19,0
158,9,11,0
159,0,20,0
160,0,20,0
161,3,17,0
162,6,14,0
163,1,19,0
164,1,19,0
165,4,16,0
166,5,15,0
167,0,20,0
168,6,14,0
169,0,20,0
170,3,17,0
171,7,13,0
172,6,14,0
173,3,17,0
174,1,19,0
175,0,20,0
176,0,20,0
177,0,20,0
178,0,20,0
179,0,20,0
180,1,19,0
181,1,19,0
182,1,19,0
183,0,20,0
184,7,13,0
185,2,18,0
186,0,20,0
187,1,19,0
188,1,19,0
189,0,20,0
190,3,17,0
191,2,18,0
192,2,18,0
193,12,8,0
194,20,0,0
