UID,GID,JobIDRaw,Group,Account,JobName,TimelimitRaw,Submit,Start,End,State,ExitCode,ReservationId,Reservation,Priority,Eligible,Constraints,SystemCPU,CPUTimeRAW,ElapsedRaw,Layout,NTasks,QOSREQ,QOS,Restarts,WorkDir,ConsumedEnergyRaw,FailedNode,AveDiskRead,AveDiskWrite,MaxDiskRead,MaxDiskWrite,Partition,Reason,Suspended,AllocNodes,AveRSS,MaxRSS,DerivedExitCode,AveVMSize,MaxVMSize,ReqMem,ReqNodes,NNodes,Planned,PlannedCPURAW,NCPUS,UserCPU,ReqCPUS,TotalCPU,TRESUsageInTot,TRESUsageOutTot,ReqTRES,AllocTRES,TRESUsageInMax,TRESUsageOutMax,Flags,Comment,SystemComment,AdminComment
1017,1017,6482,test_user18,testing,test_user18-Ykcv,10,2025-08-02T12:24:19,2025-08-02T12:24:20,2025-08-02T12:24:31,PREEMPTED,0:0,1,system_testing,86400,2025-08-02T12:24:19,,00:00:00,8448,11,,,,normal,0,/home/test_user18/stochsimsched,,,,,,,batch-cpu,None,00:00:00,6,,,0:15,,,6M,6,6,00:00:01,384,768,00:00:00,384,00:00:00,,,billing=384;cpu=384;mem=6M;node=6,billing=768;cpu=768;node=6,,,SchedMain;StartReceived,,,
1013,1013,6483,test_user14,testing,test_user14-kGyc,10,2025-08-02T12:24:19,2025-08-02T12:24:20,2025-08-02T12:25:28,PREEMPTED,0:0,1,system_testing,86400,2025-08-02T12:24:19,,00:00:00,60928,68,,,,normal,0,/home/test_user14/stochsimsched,,,,,,,batch-cpu,None,00:00:00,7,,,0:15,,,7M,7,7,00:00:01,448,896,00:00:00,448,00:00:00,,,billing=448;cpu=448;mem=7M;node=7,billing=896;cpu=896;node=7,,,SchedMain;StartReceived,,,
1018,1018,6484,test_user19,testing,test_user19-NtrT,10,2025-08-02T12:24:19,2025-08-02T12:24:20,2025-08-02T12:24:31,PREEMPTED,0:0,1,system_testing,86400,2025-08-02T12:24:19,,00:00:00,8448,11,,,,normal,0,/home/test_user19/stochsimsched,,,,,,,batch-cpu,None,00:00:00,6,,,0:15,,,6M,6,6,00:00:01,384,768,00:00:00,384,00:00:00,,,billing=384;cpu=384;mem=6M;node=6,billing=768;cpu=768;node=6,,,SchedMain;StartReceived,,,
1011,1011,6485,test_user12,testing,test_user12-i3hZ,10,2025-08-02T12:24:19,2025-08-02T12:26:08,2025-08-02T12:26:28,PREEMPTED,0:0,1,system_testing,86400,2025-08-02T12:24:19,,00:00:00,17920,20,,,,normal,0,/home/test_user12/stochsimsched,,,,,,,batch-cpu,None,00:00:00,7,,,0:15,,,7M,7,7,00:01:49,48832,896,00:00:00,448,00:00:00,,,billing=448;cpu=448;mem=7M;node=7,billing=896;cpu=896;node=7,,,SchedMain;StartReceived,,,
1012,1012,6486,test_user13,testing,test_user13-uGlW,10,2025-08-02T12:24:19,2025-08-02T12:26:53,2025-08-02T12:27:22,PREEMPTED,0:0,1,system_testing,86400,2025-08-02T12:24:20,,00:00:00,14848,29,,,,normal,0,/home/test_user13/stochsimsched,,,,,,,batch-cpu,None,00:00:00,4,,,0:15,,,4M,4,4,00:02:33,39168,512,00:00:00,256,00:00:00,,,billing=256;cpu=256;mem=4M;node=4,billing=512;cpu=512;node=4,,,SchedBackfill;StartReceived,,,
1019,1019,6487,test_user20,testing,test_user20-XWTj,10,2025-08-02T12:24:20,2025-08-02T12:24:53,2025-08-02T12:25:25,PREEMPTED,0:0,1,system_testing,86400,2025-08-02T12:24:20,,00:00:00,12288,32,,,,normal,0,/home/test_user20/stochsimsched,,,,,,,batch-cpu,None,00:00:00,3,,,0:15,,,3M,3,3,00:00:33,6336,384,00:00:00,192,00:00:00,,,billing=192;cpu=192;mem=3M;node=3,billing=384;cpu=384;node=3,,,SchedBackfill;StartReceived,,,
1014,1014,6488,test_user15,testing,test_user15-TcF5,10,2025-08-02T12:24:20,2025-08-02T12:24:23,2025-08-02T12:25:25,PREEMPTED,0:0,1,system_testing,86400,2025-08-02T12:24:20,,00:00:00,7936,62,,,,normal,0,/home/test_user15/stochsimsched,,,,,,,batch-cpu,None,00:00:00,1,,,0:15,,,1M,1,1,00:00:03,192,128,00:00:00,64,00:00:00,,,billing=64;cpu=64;mem=1M;node=1,billing=128;cpu=128;node=1,,,SchedBackfill;StartReceived,,,
1015,1015,6489,test_user16,testing,test_user16-fnFZ,10,2025-08-02T12:24:20,2025-08-02T12:26:53,2025-08-02T12:27:18,PREEMPTED,0:0,1,system_testing,86400,2025-08-02T12:24:20,,00:00:00,3200,25,,,,normal,0,/home/test_user16/stochsimsched,,,,,,,batch-cpu,None,00:00:00,1,,,0:15,,,1M,1,1,00:02:33,9792,128,00:00:00,64,00:00:00,,,billing=64;cpu=64;mem=1M;node=1,billing=128;cpu=128;node=1,,,SchedBackfill;StartReceived,,,
1016,1016,6490,test_user17,testing,test_user17-YPui,10,2025-08-02T12:24:20,2025-08-02T12:28:35,2025-08-02T12:29:40,COMPLETED,0:0,1,system_testing,86400,2025-08-02T12:24:20,,00:00:00,16640,65,,,,normal,0,/home/test_user17/stochsimsched,,,,,,,batch-cpu,None,00:00:00,2,,,0:0,,,2M,2,2,00:04:15,32640,256,00:00:00,128,00:00:00,,,billing=128;cpu=128;mem=2M;node=2,billing=256;cpu=256;node=2,,,SchedMain;StartReceived,,,
1010,1010,6491,test_user11,testing,test_user11-mXhP,10,2025-08-02T12:24:20,2025-08-02T12:29:23,2025-08-02T12:30:11,PREEMPTED,0:0,1,system_testing,86400,2025-08-02T12:24:21,,00:00:00,43008,48,,,,normal,0,/home/test_user11/stochsimsched,,,,,,,batch-cpu,None,00:00:00,7,,,0:15,,,7M,7,7,00:05:02,135296,896,00:00:00,448,00:00:00,,,billing=448;cpu=448;mem=7M;node=7,billing=896;cpu=896;node=7,,,SchedMain;StartReceived,,,
