UID,JobIDRaw,JobName,TimelimitRaw,Submit,Start,End,State,Priority,ElapsedRaw,QOS,Restarts,NNodes,Planned,Flags
1017,6482,test_user18-Ykcv,10,2025-08-02T12:24:19,2025-08-02T12:24:20,2025-08-02T12:24:31,PREEMPTED,86400,11,normal,0,6,00:00:01,SchedMain;StartReceived
1013,6483,test_user14-kGyc,10,2025-08-02T12:24:19,2025-08-02T12:24:20,2025-08-02T12:25:28,PREEMPTED,86400,68,normal,0,7,00:00:01,SchedMain;StartReceived
1018,6484,test_user19-NtrT,10,2025-08-02T12:24:19,2025-08-02T12:24:20,2025-08-02T12:24:31,PREEMPTED,86400,11,normal,0,6,00:00:01,SchedMain;StartReceived
1011,6485,test_user12-i3hZ,10,2025-08-02T12:24:19,2025-08-02T12:26:08,2025-08-02T12:26:28,PREEMPTED,86400,20,normal,0,7,00:01:49,SchedMain;StartReceived
1012,6486,test_user13-uGlW,10,2025-08-02T12:24:19,2025-08-02T12:26:53,2025-08-02T12:27:22,PREEMPTED,86400,29,normal,0,4,00:02:33,SchedBackfill;StartReceived
1019,6487,test_user20-XWTj,10,2025-08-02T12:24:20,2025-08-02T12:24:53,2025-08-02T12:25:25,PREEMPTED,86400,32,normal,0,3,00:00:33,SchedBackfill;StartReceived
1014,6488,test_user15-TcF5,10,2025-08-02T12:24:20,2025-08-02T12:24:23,2025-08-02T12:25:25,PREEMPTED,86400,62,normal,0,1,00:00:03,SchedBackfill;StartReceived
1015,6489,test_user16-fnFZ,10,2025-08-02T12:24:20,2025-08-02T12:26:53,2025-08-02T12:27:18,PREEMPTED,86400,25,normal,0,1,00:02:33,SchedBackfill;StartReceived
1016,6490,test_user17-YPui,10,2025-08-02T12:24:20,2025-08-02T12:28:35,2025-08-02T12:29:40,COMPLETED,86400,65,normal,0,2,00:04:15,SchedMain;StartReceived
1010,6491,test_user11-mXhP,10,2025-08-02T12:24:20,2025-08-02T12:29:23,2025-08-02T12:30:11,PREEMPTED,86400,48,normal,0,7,00:05:02,SchedMain;StartReceived
1002,6492,test_user3-n9JR,10,2025-08-02T12:24:30,2025-08-02T12:29:38,2025-08-02T12:30:27,PREEMPTED,86400,49,normal,0,9,00:05:08,SchedMain;StartReceived
1004,6493,test_user5-yiNy,10,2025-08-02T12:24:30,2025-08-02T12:24:35,2025-08-02T12:26:08,COMPLETED,172800,93,high,0,9,00:00:05,SchedMain;StartReceived
1003,6494,test_user4-gAKR,10,2025-08-02T12:24:30,2025-08-02T12:32:21,2025-08-02T12:32:29,PREEMPTED,86400,8,normal,0,10,00:07:51,SchedMain;StartReceived
1001,6495,test_user2-BI8f,10,2025-08-02T12:24:30,2025-08-02T12:33:49,2025-08-02T12:34:05,PREEMPTED,86400,16,normal,0,7,00:09:19,SchedMain;StartReceived
1006,6496,test_user7-FzUr,10,2025-08-02T12:24:30,2025-08-02T12:33:50,2025-08-02T12:34:05,PREEMPTED,86400,15,normal,0,3,00:09:20,SchedMain;StartReceived
1005,6497,test_user6-qsQu,10,2025-08-02T12:24:30,2025-08-02T12:36:07,2025-08-02T12:36:53,PREEMPTED,86400,46,normal,0,6,00:11:37,SchedMain;StartReceived
1000,6498,test_user1-eiG8,10,2025-08-02T12:24:30,2025-08-02T12:35:53,2025-08-02T12:37:23,PREEMPTED,86400,90,normal,0,3,00:11:22,SchedBackfill;StartReceived
1007,6499,test_user8-zef1,10,2025-08-02T12:24:31,2025-08-02T12:36:56,2025-08-02T12:38:04,PREEMPTED,86400,68,normal,0,6,00:12:25,SchedMain;StartReceived
1009,6500,test_user10-nkps,10,2025-08-02T12:24:31,2025-08-02T12:33:53,2025-08-02T12:35:44,COMPLETED,86400,111,normal,0,2,00:09:22,SchedBackfill;StartReceived
1008,6501,test_user9-uTjZ,10,2025-08-02T12:24:31,2025-08-02T12:39:07,2025-08-02T12:40:20,PREEMPTED,86400,73,normal,0,8,00:14:36,SchedMain;StartReceived
1015,6502,test_user16-PhY9,10,2025-08-02T12:25:00,2025-08-02T12:39:27,2025-08-02T12:39:46,PREEMPTED,86400,19,normal,0,3,00:14:27,SchedMain;StartReceived
1019,6503,test_user20-Ye1E,10,2025-08-02T12:25:01,2025-08-02T12:38:23,2025-08-02T12:39:40,COMPLETED,86400,77,normal,0,2,00:13:22,SchedBackfill;StartReceived
1010,6504,test_user11-7kkR,10,2025-08-02T12:25:14,2025-08-02T12:42:24,2025-08-02T12:43:57,COMPLETED,86400,93,normal,0,10,00:17:10,SchedMain;StartReceived
1016,6505,test_user17-If6i,10,2025-08-02T12:25:19,2025-08-02T12:28:53,2025-08-02T12:30:21,COMPLETED,86400,88,normal,0,1,00:03:34,SchedBackfill;StartReceived
1008,6506,test_user9-dqxY,10,2025-08-02T12:25:21,2025-08-02T12:39:53,2025-08-02T12:40:19,PREEMPTED,86400,26,normal,0,4,00:14:32,SchedBackfill;StartReceived
1003,6507,test_user4-Jx0y,10,2025-08-02T12:25:23,2025-08-02T12:25:28,2025-08-02T12:26:48,COMPLETED,172800,80,high,0,4,00:00:05,SchedMain;StartReceived
1014,6508,test_user15-Xtnv,10,2025-08-02T12:25:23,2025-08-02T12:42:51,2025-08-02T12:44:06,COMPLETED,86400,75,normal,0,7,00:17:28,SchedMain;StartReceived
1005,6509,test_user6-yoyg,10,2025-08-02T12:25:25,2025-08-02T12:39:53,2025-08-02T12:40:43,PREEMPTED,86400,50,normal,0,2,00:14:28,SchedBackfill;StartReceived
1013,6510,test_user14-QJSS,10,2025-08-02T12:25:26,2025-08-02T12:25:32,2025-08-02T12:27:18,COMPLETED,172800,106,high,0,6,00:00:06,SchedMain;StartReceived
1012,6511,test_user13-g0Vo,10,2025-08-02T12:25:30,2025-08-02T12:44:06,2025-08-02T12:44:27,PREEMPTED,86400,21,normal,0,5,00:18:36,SchedMain;StartReceived
1007,6512,test_user8-o46f,10,2025-08-02T12:25:32,2025-08-02T12:26:08,2025-08-02T12:27:26,COMPLETED,172800,78,high,0,3,00:00:36,SchedMain;StartReceived
1001,6513,test_user2-A4ad,10,2025-08-02T12:25:33,2025-08-02T12:42:53,2025-08-02T12:44:26,COMPLETED,86400,93,normal,0,2,00:17:20,SchedBackfill;StartReceived
1018,6514,test_user19-oNwo,10,2025-08-02T12:25:34,2025-08-02T12:45:11,2025-08-02T12:46:55,COMPLETED,86400,104,normal,0,9,00:19:37,SchedMain;StartReceived
1009,6515,test_user10-FfUX,10,2025-08-02T12:25:35,2025-08-02T12:45:35,2025-08-02T12:47:08,COMPLETED,86400,93,normal,0,6,00:20:00,SchedMain;StartReceived
1011,6516,test_user12-Q6rG,10,2025-08-02T12:25:35,2025-08-02T12:47:08,2025-08-02T12:48:25,COMPLETED,86400,77,normal,0,10,00:21:33,SchedMain;StartReceived
1006,6517,test_user7-Uyte,10,2025-08-02T12:25:36,2025-08-02T12:40:53,2025-08-02T12:42:32,COMPLETED,86400,99,normal,0,1,00:15:17,SchedBackfill;StartReceived
1017,6518,test_user18-mZyx,10,2025-08-02T12:25:46,2025-08-02T12:45:53,2025-08-02T12:47:17,COMPLETED,86400,84,normal,0,5,00:20:07,SchedBackfill;StartReceived
1000,6519,test_user1-YRrW,10,2025-08-02T12:25:48,2025-08-02T12:47:08,2025-08-02T12:49:11,COMPLETED,86400,123,normal,0,4,00:21:20,SchedMain;StartReceived
1002,6520,test_user3-ehqM,10,2025-08-02T12:25:52,2025-08-02T12:47:17,2025-08-02T12:49:03,COMPLETED,86400,106,normal,0,6,00:21:25,SchedMain;StartReceived
1004,6521,test_user5-X4BX,10,2025-08-02T12:25:53,2025-08-02T12:48:25,2025-08-02T12:50:19,COMPLETED,86400,114,normal,0,8,00:22:32,SchedMain;StartReceived
1008,6522,test_user9-t6mK,10,2025-08-02T12:26:01,2025-08-02T12:49:03,2025-08-02T12:50:45,COMPLETED,86400,102,normal,0,4,00:23:02,SchedMain;StartReceived
1003,6523,test_user4-xsUi,10,2025-08-02T12:26:05,2025-08-02T12:49:03,2025-08-02T12:51:04,COMPLETED,86400,121,normal,0,1,00:22:58,SchedMain;StartReceived
1013,6524,test_user14-bG08,10,2025-08-02T12:26:16,2025-08-02T12:49:03,2025-08-02T12:50:17,COMPLETED,86400,74,normal,0,3,00:22:47,SchedMain;StartReceived
1015,6525,test_user16-rfLv,10,2025-08-02T12:26:17,2025-08-02T12:50:19,2025-08-02T12:51:23,COMPLETED,86400,64,normal,0,6,00:24:02,SchedMain;StartReceived
1011,6526,test_user12-nnBy,10,2025-08-02T12:26:19,2025-08-02T12:49:23,2025-08-02T12:50:38,COMPLETED,86400,75,normal,0,4,00:23:04,SchedBackfill;StartReceived
1016,6527,test_user17-LnD1,10,2025-08-02T12:26:22,2025-08-02T12:50:46,2025-08-02T12:52:31,COMPLETED,86400,105,normal,0,9,00:24:24,SchedMain;StartReceived
1014,6528,test_user15-Xkoa,10,2025-08-02T12:26:25,2025-08-02T12:51:23,2025-08-02T12:53:21,COMPLETED,86400,118,normal,0,9,00:24:58,SchedMain;StartReceived
1001,6529,test_user2-NRJW,10,2025-08-02T12:26:26,2025-08-02T12:52:31,2025-08-02T12:53:41,COMPLETED,86400,70,normal,0,8,00:26:05,SchedMain;StartReceived
1012,6530,test_user13-XRZD,10,2025-08-02T12:26:28,2025-08-02T12:53:21,2025-08-02T12:54:43,COMPLETED,86400,82,normal,0,7,00:26:53,SchedMain;StartReceived
1007,6531,test_user8-kWv1,10,2025-08-02T12:26:28,2025-08-02T12:26:32,2025-08-02T12:28:20,COMPLETED,172800,108,high,0,6,00:00:04,SchedMain;StartReceived
1018,6532,test_user19-Xyeg,10,2025-08-02T12:26:28,2025-08-02T12:53:41,2025-08-02T12:55:05,COMPLETED,86400,84,normal,0,7,00:27:13,SchedMain;StartReceived
1019,6533,test_user20-9kE2,10,2025-08-02T12:26:29,2025-08-02T12:27:22,2025-08-02T12:28:35,COMPLETED,172800,73,high,0,7,00:00:53,SchedMain;StartReceived
1017,6534,test_user18-uGAk,10,2025-08-02T12:26:34,2025-08-02T12:50:23,2025-08-02T12:51:57,COMPLETED,86400,94,normal,0,1,00:23:49,SchedBackfill;StartReceived
