Job ID,User ID,Queue Time,Start Time,End Time,Total Nodes Requested,Total CPU Cores Requested,Total Memory Requested (MB),Expected Duration (Sim Units),Assigned Node 1 ID,Assigned Node 1 Cores,Assigned Node 1 Mem (MB),Assigned Node 2 ID,Assigned Node 2 Cores,Assigned Node 2 Mem (MB),Additional Assigned Details
48,10,2002-07-28 01:04:52,2002-07-28 01:04:52,2002-07-28 01:04:54,2,4,NA,2,2,2,951697,4,2,951697,
42,9,2002-07-28 01:04:46,2002-07-28 01:04:46,2002-07-28 01:04:56,1,2,NA,10,3,2,680100,,,,
44,2,2002-07-28 01:04:48,2002-07-28 01:04:48,2002-07-28 01:04:57,2,4,NA,9,7,2,338436,7,2,338436,
45,5,2002-07-28 01:04:49,2002-07-28 01:04:49,2002-07-28 01:04:57,2,4,NA,8,1,2,352880,1,2,352880,
46,8,2002-07-28 01:04:50,2002-07-28 01:04:50,2002-07-28 01:04:59,1,2,NA,9,3,2,123844,,,,
51,10,2002-07-28 01:04:55,2002-07-28 01:04:55,2002-07-28 01:04:59,3,6,NA,4,2,2,870872,4,2,870872,8;2;870872
49,7,2002-07-28 01:04:53,2002-07-28 01:04:53,2002-07-28 01:05:01,2,4,NA,8,5,2,976189,6,2,976189,
52,6,2002-07-28 01:04:56,2002-07-28 01:04:56,2002-07-28 01:05:01,1,2,NA,5,3,2,756539,,,,
57,5,2002-07-28 01:05:01,2002-07-28 01:05:01,2002-07-28 01:05:02,3,6,NA,1,1,2,195584,7,2,195584,9;2;195584
54,9,2002-07-28 01:04:58,2002-07-28 01:04:58,2002-07-28 01:05:03,3,6,NA,5,11,2,871796,12,2,871796,13;2;871796
58,2,2002-07-28 01:05:02,2002-07-28 01:05:02,2002-07-28 01:05:03,3,6,NA,1,11,2,138487,12,2,138487,13;2;138487
50,10,2002-07-28 01:04:54,2002-07-28 01:04:54,2002-07-28 01:05:04,1,2,NA,10,2,2,141281,,,,
55,3,2002-07-28 01:04:59,2002-07-28 01:04:59,2002-07-28 01:05:04,3,6,NA,5,2,2,781601,4,2,781601,8;2;781601
59,7,2002-07-28 01:05:03,2002-07-28 01:05:03,2002-07-28 01:05:04,2,4,NA,1,1,2,336715,7,2,336715,
53,3,2002-07-28 01:04:57,2002-07-28 01:04:57,2002-07-28 01:05:06,4,8,NA,9,1,2,606911,7,2,606911,9;2;606911#10;2;606911
56,4,2002-07-28 01:05:00,2002-07-28 01:05:00,2002-07-28 01:05:06,3,6,NA,6,4,2,211188,8,2,211188,3;2;211188
61,8,2002-07-28 01:05:05,2002-07-28 01:05:05,2002-07-28 01:05:06,4,8,NA,1,4,2,562165,8,2,562165,2;2;562165#5;2;562165
60,10,2002-07-28 01:05:04,2002-07-28 01:05:04,2002-07-28 01:05:12,1,2,NA,8,3,2,624842,,,,
62,3,2002-07-28 01:05:06,2002-07-28 01:05:06,2002-07-28 01:05:12,2,4,NA,6,1,2,853248,2,2,853248,
63,6,2002-07-28 01:05:07,2002-07-28 01:05:07,2002-07-28 01:05:12,2,4,NA,5,3,2,297995,4,2,297995,
65,10,2002-07-28 01:05:09,2002-07-28 01:05:09,2002-07-28 01:05:12,4,8,NA,3,1,2,131068,2,2,131068,5;2;131068#6;2;131068
68,9,2002-07-28 01:05:12,2002-07-28 01:05:12,2002-07-28 01:05:14,1,2,NA,2,1,2,613774,,,,
70,5,2002-07-28 01:05:14,2002-07-28 01:05:14,2002-07-28 01:05:15,3,6,NA,1,5,2,177289,6,2,177289,1;2;177289
67,8,2002-07-28 01:05:11,2002-07-28 01:05:11,2002-07-28 01:05:16,4,8,NA,5,7,2,220495,8,2,220495,9;2;220495#10;2;220495
66,8,2002-07-28 01:05:10,2002-07-28 01:05:10,2002-07-28 01:05:17,2,4,NA,7,9,2,767336,10,2,767336,
64,6,2002-07-28 01:05:08,2002-07-28 01:05:08,2002-07-28 01:05:18,4,8,NA,10,5,2,779872,6,2,779872,7;2;779872#8;2;779872
72,3,2002-07-28 01:05:16,2002-07-28 01:05:16,2002-07-28 01:05:18,2,4,NA,2,11,2,528805,12,2,528805,
69,5,2002-07-28 01:05:13,2002-07-28 01:05:13,2002-07-28 01:05:22,4,8,NA,9,2,2,499678,2,2,499678,3;2;499678#3;2;499678
73,8,2002-07-28 01:05:17,2002-07-28 01:05:17,2002-07-28 01:05:22,4,8,NA,5,11,2,504363,12,2,504363,9;2;504363#9;2;504363
77,10,2002-07-28 01:05:21,2002-07-28 01:05:21,2002-07-28 01:05:22,2,4,NA,1,12,2,461008,14,2,461008,
71,1,2002-07-28 01:05:15,2002-07-28 01:05:15,2002-07-28 01:05:24,4,8,NA,9,1,2,275370,1,2,275370,4;2;275370#4;2;275370
74,6,2002-07-28 01:05:18,2002-07-28 01:05:18,2002-07-28 01:05:25,1,2,NA,7,11,2,346865,,,,
75,9,2002-07-28 01:05:19,2002-07-28 01:05:19,2002-07-28 01:05:26,2,4,NA,7,5,2,930008,6,2,930008,
79,5,2002-07-28 01:05:23,2002-07-28 01:05:23,2002-07-28 01:05:28,4,8,NA,5,11,2,143147,3,2,143147,3;2;143147#9;2;143147
78,3,2002-07-28 01:05:22,2002-07-28 01:05:22,2002-07-28 01:05:29,1,2,NA,7,2,2,944037,,,,
81,1,2002-07-28 01:05:25,2002-07-28 01:05:25,2002-07-28 01:05:29,1,2,NA,4,4,2,535528,,,,
76,7,2002-07-28 01:05:20,2002-07-28 01:05:20,2002-07-28 01:05:30,4,8,NA,10,7,2,944500,8,2,944500,10;2;944500#13;2;944500
80,1,2002-07-28 01:05:24,2002-07-28 01:05:24,2002-07-28 01:05:30,4,8,NA,6,9,2,217537,1,2,217537,1;2;217537#4;2;217537
82,3,2002-07-28 01:05:26,2002-07-28 01:05:26,2002-07-28 01:05:31,1,2,NA,5,11,2,270652,,,,
85,10,2002-07-28 01:05:29,2002-07-28 01:05:29,2002-07-28 01:05:32,4,8,NA,3,4,2,491059,2,2,491059,2;2;491059#3;2;491059
83,9,2002-07-28 01:05:27,2002-07-28 01:05:27,2002-07-28 01:05:33,4,8,NA,6,5,2,956417,6,2,956417,12;2;956417#14;2;956417
88,1,2002-07-28 01:05:32,2002-07-28 01:05:32,2002-07-28 01:05:34,2,4,NA,2,2,2,725579,7,2,725579,
84,3,2002-07-28 01:05:28,2002-07-28 01:05:28,2002-07-28 01:05:36,2,4,NA,8,11,2,256738,9,2,256738,
89,2,2002-07-28 01:05:33,2002-07-28 01:05:33,2002-07-28 01:05:36,1,2,NA,3,3,2,676567,,,,
87,9,2002-07-28 01:05:31,2002-07-28 01:05:31,2002-07-28 01:05:37,2,4,NA,6,1,2,182769,11,2,182769,
90,5,2002-07-28 01:05:34,2002-07-28 01:05:34,2002-07-28 01:05:37,4,8,NA,3,2,2,952469,5,2,952469,6;2;952469#7;2;952469
86,4,2002-07-28 01:05:30,2002-07-28 01:05:30,2002-07-28 01:05:38,4,8,NA,8,3,2,325457,4,2,325457,9;2;325457#1;2;325457
92,1,2002-07-28 01:05:36,2002-07-28 01:05:36,2002-07-28 01:05:39,4,8,NA,3,11,2,857248,13,2,857248,14;2;857248#15;2;857248
91,9,2002-07-28 01:05:35,2002-07-28 01:05:35,2002-07-28 01:05:40,3,6,NA,5,8,2,943780,10,2,943780,12;2;943780
96,3,2002-07-28 01:05:40,2002-07-28 01:05:40,2002-07-28 01:05:41,2,4,NA,1,1,2,126666,3,2,126666,
93,7,2002-07-28 01:05:37,2002-07-28 01:05:37,2002-07-28 01:05:43,3,6,NA,6,2,2,847685,5,2,847685,6;2;847685
99,1,2002-07-28 01:05:43,2002-07-28 01:05:43,2002-07-28 01:05:44,2,4,NA,1,13,2,884018,14,2,884018,
94,4,2002-07-28 01:05:38,2002-07-28 01:05:38,2002-07-28 01:05:45,3,6,NA,7,1,2,881529,3,2,881529,4;2;881529
95,3,2002-07-28 01:05:39,2002-07-28 01:05:39,2002-07-28 01:05:47,4,8,NA,8,2,2,168968,5,2,168968,6;2;168968#7;2;168968
97,4,2002-07-28 01:05:41,2002-07-28 01:05:41,2002-07-28 01:05:47,2,4,NA,6,7,2,702756,8,2,702756,
98,2,2002-07-28 01:05:42,2002-07-28 01:05:42,2002-07-28 01:05:48,4,8,NA,6,9,2,865304,10,2,865304,11;2;865304#12;2;865304
102,2,2002-07-28 01:05:46,2002-07-28 01:05:46,2002-07-28 01:05:50,4,8,NA,4,9,2,167283,10,2,167283,11;2;167283#12;2;167283
103,2,2002-07-28 01:05:47,2002-07-28 01:05:47,2002-07-28 01:05:50,2,4,NA,3,1,2,911729,3,2,911729,
104,9,2002-07-28 01:05:48,2002-07-28 01:05:48,2002-07-28 01:05:50,3,6,NA,2,8,2,621307,9,2,621307,10;2;621307
105,2,2002-07-28 01:05:49,2002-07-28 01:05:49,2002-07-28 01:05:50,1,2,NA,1,11,2,680605,,,,
100,3,2002-07-28 01:05:44,2002-07-28 01:05:44,2002-07-28 01:05:53,1,2,NA,9,2,2,786430,,,,
101,9,2002-07-28 01:05:45,2002-07-28 01:05:45,2002-07-28 01:05:55,1,2,NA,10,8,2,312775,,,,
110,2,2002-07-28 01:05:54,2002-07-28 01:05:54,2002-07-28 01:05:55,3,6,NA,1,7,2,960251,9,2,960251,10;2;960251
106,10,2002-07-28 01:05:50,2002-07-28 01:05:50,2002-07-28 01:05:57,3,6,NA,7,2,2,221572,8,2,221572,1;2;221572
107,3,2002-07-28 01:05:51,2002-07-28 01:05:51,2002-07-28 01:05:57,3,6,NA,6,1,2,327670,3,2,327670,3;2;327670
108,1,2002-07-28 01:05:52,2002-07-28 01:05:52,2002-07-28 01:06:00,1,2,NA,8,4,2,532372,,,,
112,4,2002-07-28 01:05:56,2002-07-28 01:05:56,2002-07-28 01:06:00,1,2,NA,4,8,2,406393,,,,
111,7,2002-07-28 01:05:55,2002-07-28 01:05:55,2002-07-28 01:06:01,3,6,NA,6,5,2,220785,6,2,220785,4;2;220785
114,2,2002-07-28 01:05:58,2002-07-28 01:05:58,2002-07-28 01:06:01,2,4,NA,3,3,2,650591,7,2,650591,
116,8,2002-07-28 01:06:00,2002-07-28 01:06:00,2002-07-28 01:06:02,1,2,NA,2,8,2,493368,,,,
109,5,2002-07-28 01:05:53,2002-07-28 01:05:53,2002-07-28 01:06:03,3,6,NA,10,2,2,752477,5,2,752477,6;2;752477
113,4,2002-07-28 01:05:57,2002-07-28 01:05:57,2002-07-28 01:06:04,1,2,NA,7,1,2,804736,,,,
115,9,2002-07-28 01:05:59,2002-07-28 01:05:59,2002-07-28 01:06:06,1,2,NA,7,8,2,431334,,,,
117,2,2002-07-28 01:06:01,2002-07-28 01:06:01,2002-07-28 01:06:06,1,2,NA,5,3,2,708734,,,,
119,4,2002-07-28 01:06:03,2002-07-28 01:06:03,2002-07-28 01:06:06,3,6,NA,3,8,2,584268,2,2,584268,5;2;584268
120,5,2002-07-28 01:06:04,2002-07-28 01:06:04,2002-07-28 01:06:07,1,2,NA,3,1,2,985556,,,,
122,5,2002-07-28 01:06:06,2002-07-28 01:06:06,2002-07-28 01:06:07,1,2,NA,1,4,2,271209,,,,
123,5,2002-07-28 01:06:07,2002-07-28 01:06:07,2002-07-28 01:06:10,2,4,NA,3,3,2,668262,1,2,668262,
118,4,2002-07-28 01:06:02,2002-07-28 01:06:02,2002-07-28 01:06:11,3,6,NA,9,4,2,685081,7,2,685081,9;2;685081
121,4,2002-07-28 01:06:05,2002-07-28 01:06:05,2002-07-28 01:06:11,1,2,NA,6,3,2,282895,,,,
125,9,2002-07-28 01:06:09,2002-07-28 01:06:09,2002-07-28 01:06:11,4,8,NA,2,2,2,779644,5,2,779644,6;2;779644#8;2;779644
126,6,2002-07-28 01:06:10,2002-07-28 01:06:10,2002-07-28 01:06:11,1,2,NA,1,3,2,604489,,,,
124,9,2002-07-28 01:06:08,2002-07-28 01:06:08,2002-07-28 01:06:12,4,8,NA,4,4,2,276611,7,2,276611,9;2;276611#1;2;276611
127,4,2002-07-28 01:06:11,2002-07-28 01:06:11,2002-07-28 01:06:12,2,4,NA,1,1,2,301076,4,2,301076,
128,10,2002-07-28 01:06:12,2002-07-28 01:06:12,2002-07-28 01:06:15,1,2,NA,3,1,2,458440,,,,
130,9,2002-07-28 01:06:14,2002-07-28 01:06:14,2002-07-28 01:06:17,1,2,NA,3,2,2,321922,,,,
131,10,2002-07-28 01:06:15,2002-07-28 01:06:15,2002-07-28 01:06:17,3,6,NA,2,3,2,989274,4,2,989274,5;2;989274
129,9,2002-07-28 01:06:13,2002-07-28 01:06:13,2002-07-28 01:06:21,1,2,NA,8,1,2,451670,,,,
137,5,2002-07-28 01:06:21,2002-07-28 01:06:21,2002-07-28 01:06:22,2,4,NA,1,2,2,368614,1,2,368614,
132,9,2002-07-28 01:06:16,2002-07-28 01:06:16,2002-07-28 01:06:23,2,4,NA,7,6,2,777001,7,2,777001,
133,6,2002-07-28 01:06:17,2002-07-28 01:06:17,2002-07-28 01:06:23,1,2,NA,6,2,2,618128,,,,
134,8,2002-07-28 01:06:18,2002-07-28 01:06:18,2002-07-28 01:06:24,1,2,NA,6,3,2,832285,,,,
140,8,2002-07-28 01:06:24,2002-07-28 01:06:24,2002-07-28 01:06:25,1,2,NA,1,5,2,118831,,,,
135,10,2002-07-28 01:06:19,2002-07-28 01:06:19,2002-07-28 01:06:28,2,4,NA,9,4,2,828489,5,2,828489,
138,8,2002-07-28 01:06:22,2002-07-28 01:06:22,2002-07-28 01:06:28,1,2,NA,6,2,2,353440,,,,
136,8,2002-07-28 01:06:20,2002-07-28 01:06:20,2002-07-28 01:06:29,2,4,NA,9,3,2,111885,4,2,111885,
139,2,2002-07-28 01:06:23,2002-07-28 01:06:23,2002-07-28 01:06:30,4,8,NA,7,2,2,454273,1,2,454273,1;2;454273#6;2;454273
141,7,2002-07-28 01:06:25,2002-07-28 01:06:25,2002-07-28 01:06:30,1,2,NA,5,3,2,844322,,,,
144,5,2002-07-28 01:06:28,2002-07-28 01:06:28,2002-07-28 01:06:32,3,6,NA,4,9,2,267440,10,2,267440,11;2;267440
147,7,2002-07-28 01:06:31,2002-07-28 01:06:31,2002-07-28 01:06:33,4,8,NA,2,16,2,734441,17,2,734441,18;2;734441#19;2;734441
142,2,2002-07-28 01:06:26,2002-07-28 01:06:26,2002-07-28 01:06:34,3,6,NA,8,6,2,536108,7,2,536108,8;2;536108
143,2,2002-07-28 01:06:27,2002-07-28 01:06:27,2002-07-28 01:06:35,4,8,NA,8,9,2,776536,10,2,776536,11;2;776536#12;2;776536
146,8,2002-07-28 01:06:30,2002-07-28 01:06:30,2002-07-28 01:06:37,4,8,NA,7,1,2,873012,3,2,873012,14;2;873012#15;2;873012
