UID,GID,JobIDRaw,Group,Account,JobName,TimelimitRaw,Submit,Start,End,State,ExitCode,ReservationId,Reservation,Priority,Eligible,Constraints,SystemCPU,CPUTimeRAW,ElapsedRaw,Layout,NTasks,QOSREQ,QOS,Restarts,WorkDir,ConsumedEnergyRaw,FailedNode,AveDiskRead,AveDiskWrite,MaxDiskRead,MaxDiskWrite,Partition,Reason,Suspended,AllocNodes,AveRSS,MaxRSS,DerivedExitCode,AveVMSize,MaxVMSize,ReqMem,ReqNodes,NNodes,Planned,PlannedCPURAW,NCPUS,UserCPU,ReqCPUS,TotalCPU,TRESUsageInTot,TRESUsageOutTot,ReqTRES,AllocTRES,TRESUsageInMax,TRESUsageOutMax,Flags,Comment,SystemComment,AdminComment
1011,1011,6082,test_user12,testing,test_user12-s07o,10,2025-08-02T09:07:48,2025-08-02T09:07:49,2025-08-02T09:09:22,COMPLETED,0:0,1,system_testing,86400,2025-08-02T09:07:48,,00:00:00,47616,93,,,,normal,0,/home/test_user12/stochsimsched,,,,,,,batch-cpu,None,00:00:00,4,,,0:0,,,4M,4,4,00:00:01,256,512,00:00:00,256,00:00:00,,,billing=256;cpu=256;mem=4M;node=4,billing=512;cpu=512;node=4,,,SchedMain;StartReceived,,,
1013,1013,6083,test_user14,testing,test_user14-doIN,10,2025-08-02T09:07:48,2025-08-02T09:07:49,2025-08-02T09:09:04,COMPLETED,0:0,1,system_testing,86400,2025-08-02T09:07:48,,00:00:00,86400,75,,,,normal,0,/home/test_user14/stochsimsched,,,,,,,batch-cpu,None,00:00:00,9,,,0:0,,,9M,9,9,00:00:01,576,1152,00:00:00,576,00:00:00,,,billing=576;cpu=576;mem=9M;node=9,billing=1152;cpu=1152;node=9,,,SchedMain;StartReceived,,,
1010,1010,6086,test_user11,testing,test_user11-YcID,10,2025-08-02T09:07:48,2025-08-02T09:31:01,2025-08-02T09:32:45,COMPLETED,0:0,1,system_testing,86400,2025-08-02T09:07:48,,00:00:00,106496,104,,,,normal,0,/home/test_user11/stochsimsched,,,,,,,batch-cpu,None,00:00:00,8,,,0:0,,,8M,8,8,00:23:13,713216,1024,00:00:00,512,00:00:00,,,billing=512;cpu=512;mem=8M;node=8,billing=1024;cpu=1024;node=8,,,SchedMain;StartReceived,,,
1014,1014,6087,test_user15,testing,test_user15-fvfJ,10,2025-08-02T09:07:48,2025-08-02T09:32:02,2025-08-02T09:33:26,COMPLETED,0:0,1,system_testing,86400,2025-08-02T09:07:49,,00:00:00,86016,84,,,,normal,0,/home/test_user15/stochsimsched,,,,,,,batch-cpu,None,00:00:00,8,,,0:0,,,8M,8,8,00:24:13,743936,1024,00:00:00,512,00:00:00,,,billing=512;cpu=512;mem=8M;node=8,billing=1024;cpu=1024;node=8,,,SchedMain;StartReceived,,,
1018,1018,6089,test_user19,testing,test_user19-WAzq,10,2025-08-02T09:07:49,2025-08-02T09:32:45,2025-08-02T09:34:14,COMPLETED,0:0,1,system_testing,86400,2025-08-02T09:07:49,,00:00:00,79744,89,,,,normal,0,/home/test_user19/stochsimsched,,,,,,,batch-cpu,None,00:00:00,7,,,0:0,,,7M,7,7,00:24:56,670208,896,00:00:00,448,00:00:00,,,billing=448;cpu=448;mem=7M;node=7,billing=896;cpu=896;node=7,,,SchedMain;StartReceived,,,
1016,1016,6090,test_user17,testing,test_user17-8CFU,10,2025-08-02T09:07:49,2025-08-02T09:33:26,2025-08-02T09:35:21,COMPLETED,0:0,1,system_testing,86400,2025-08-02T09:07:50,,00:00:00,88320,115,,,,normal,0,/home/test_user17/stochsimsched,,,,,,,batch-cpu,None,00:00:00,6,,,0:0,,,6M,6,6,00:25:36,589824,768,00:00:00,384,00:00:00,,,billing=384;cpu=384;mem=6M;node=6,billing=768;cpu=768;node=6,,,SchedMain;StartReceived,,,
1019,1019,6091,test_user20,testing,test_user20-dHze,10,2025-08-02T09:07:50,2025-08-02T09:32:50,2025-08-02T09:34:19,COMPLETED,0:0,1,system_testing,86400,2025-08-02T09:07:50,,00:00:00,56960,89,,,,normal,0,/home/test_user20/stochsimsched,,,,,,,batch-cpu,None,00:00:00,5,,,0:0,,,5M,5,5,00:25:00,480000,640,00:00:00,320,00:00:00,,,billing=320;cpu=320;mem=5M;node=5,billing=640;cpu=640;node=5,,,SchedBackfill;StartReceived,,,
1003,1003,6092,test_user4,testing,test_user4-RkLA,10,2025-08-02T09:07:57,2025-08-02T09:34:14,2025-08-02T09:35:57,COMPLETED,0:0,1,system_testing,86400,2025-08-02T09:07:57,,00:00:00,118656,103,,,,normal,0,/home/test_user4/stochsimsched,,,,,,,batch-cpu,None,00:00:00,9,,,0:0,,,9M,9,9,00:26:17,908352,1152,00:00:00,576,00:00:00,,,billing=576;cpu=576;mem=9M;node=9,billing=1152;cpu=1152;node=9,,,SchedMain;StartReceived,,,
1000,1000,6093,test_user1,testing,test_user1-8Gmg,10,2025-08-02T09:07:57,2025-08-02T09:10:19,2025-08-02T09:12:08,COMPLETED,0:0,1,system_testing,86400,2025-08-02T09:07:57,,00:00:00,27904,109,,,,normal,0,/home/test_user1/stochsimsched,,,,,,,batch-cpu,None,00:00:00,2,,,0:0,,,2M,2,2,00:02:22,18176,256,00:00:00,128,00:00:00,,,billing=128;cpu=128;mem=2M;node=2,billing=256;cpu=256;node=2,,,SchedBackfill;StartReceived,,,
1008,1008,6094,test_user9,testing,test_user9-teMo,10,2025-08-02T09:07:57,2025-08-02T09:34:19,2025-08-02T09:36:00,COMPLETED,0:0,1,system_testing,86400,2025-08-02T09:07:57,,00:00:00,51712,101,,,,normal,0,/home/test_user9/stochsimsched,,,,,,,batch-cpu,None,00:00:00,4,,,0:0,,,4M,4,4,00:26:22,404992,512,00:00:00,256,00:00:00,,,billing=256;cpu=256;mem=4M;node=4,billing=512;cpu=512;node=4,,,SchedMain;StartReceived,,,
