UID,GID,JobIDRaw,Group,Account,JobName,TimelimitRaw,Submit,Start,End,State,ExitCode,ReservationId,Reservation,Priority,Eligible,Constraints,SystemCPU,CPUTimeRAW,ElapsedRaw,Layout,NTasks,QOSREQ,QOS,Restarts,WorkDir,ConsumedEnergyRaw,FailedNode,AveDiskRead,AveDiskWrite,MaxDiskRead,MaxDiskWrite,Partition,Reason,Suspended,AllocNodes,AveRSS,MaxRSS,DerivedExitCode,AveVMSize,MaxVMSize,ReqMem,ReqNodes,NNodes,Planned,PlannedCPURAW,NCPUS,UserCPU,ReqCPUS,TotalCPU,TRESUsageInTot,TRESUsageOutTot,ReqTRES,AllocTRES,TRESUsageInMax,TRESUsageOutMax,Flags,Comment,SystemComment,AdminComment
1010,1010,6882,test_user11,testing,test_user11-qGHP,10,2025-08-02T15:41:56,2025-08-02T15:41:57,2025-08-02T15:42:25,PREEMPTED,0:0,1,system_testing,86400,2025-08-02T15:41:56,,00:00:00,28672,28,,,,normal,0,/home/test_user11/stochsimsched,,,,,,,batch-cpu,None,00:00:00,8,,,0:15,,,8M,8,8,00:00:01,512,1024,00:00:00,512,00:00:00,,,billing=512;cpu=512;mem=8M;node=8,billing=1024;cpu=1024;node=8,,,SchedMain;StartReceived,,,
1019,1019,6883,test_user20,testing,test_user20-YdNC,10,2025-08-02T15:41:56,2025-08-02T15:41:57,2025-08-02T15:48:26,PREEMPTED,0:0,1,system_testing,86400,2025-08-02T15:41:56,,00:00:00,149376,389,,,,normal,0,/home/test_user20/stochsimsched,,,,,,,batch-cpu,None,00:00:00,3,,,0:15,,,3M,3,3,00:00:01,192,384,00:00:00,192,00:00:00,,,billing=192;cpu=192;mem=3M;node=3,billing=384;cpu=384;node=3,,,SchedMain;StartReceived,,,
1015,1015,6884,test_user16,testing,test_user16-7nZ2,10,2025-08-02T15:41:56,2025-08-02T15:41:57,2025-08-02T15:50:15,COMPLETED,0:0,1,system_testing,172800,2025-08-02T15:41:56,,00:00:00,573696,498,,,high,high,0,/home/test_user16/stochsimsched,,,,,,,batch-cpu,None,00:00:00,9,,,0:0,,,9M,9,9,00:00:01,576,1152,00:00:00,576,00:00:00,,,billing=576;cpu=576;mem=9M;node=9,billing=1152;cpu=1152;node=9,,,SchedMain;StartReceived,,,
1018,1018,6885,test_user19,testing,test_user19-NwOK,10,2025-08-02T15:41:56,2025-08-02T17:50:47,2025-08-02T17:59:14,COMPLETED,0:0,1,system_testing,86400,2025-08-02T15:41:56,,00:00:00,324480,507,,,,normal,0,/home/test_user19/stochsimsched,,,,,,,batch-cpu,None,00:00:00,5,,,0:0,,,5M,5,5,02:08:51,2473920,640,00:00:00,320,00:00:00,,,billing=320;cpu=320;mem=5M;node=5,billing=640;cpu=640;node=5,,,SchedMain;StartReceived,,,
1012,1012,6886,test_user13,testing,test_user13-0DAp,10,2025-08-02T15:41:56,2025-08-02T17:58:12,2025-08-02T18:06:56,COMPLETED,0:0,1,system_testing,86400,2025-08-02T15:41:57,,00:00:00,469504,524,,,,normal,0,/home/test_user13/stochsimsched,,,,,,,batch-cpu,None,00:00:00,7,,,0:0,,,7M,7,7,02:16:15,3662400,896,00:00:00,448,00:00:00,,,billing=448;cpu=448;mem=7M;node=7,billing=896;cpu=896;node=7,,,SchedMain;StartReceived,,,
1017,1017,6887,test_user18,testing,test_user18-MT3r,10,2025-08-02T15:41:57,2025-08-02T16:58:58,2025-08-02T17:06:41,PREEMPTED,0:0,1,system_testing,86400,2025-08-02T15:41:57,,00:00:00,177792,463,,,,normal,0,/home/test_user18/stochsimsched,,,,,,,batch-cpu,None,00:00:00,3,,,0:15,,,3M,3,3,01:17:01,887232,384,00:00:00,192,00:00:00,,,billing=192;cpu=192;mem=3M;node=3,billing=384;cpu=384;node=3,,,SchedBackfill;StartReceived,,,
1011,1011,6888,test_user12,testing,test_user12-ByOT,10,2025-08-02T15:41:57,2025-08-02T17:58:12,2025-08-02T18:06:22,COMPLETED,0:0,1,system_testing,86400,2025-08-02T15:41:57,,00:00:00,376320,490,,,,normal,0,/home/test_user12/stochsimsched,,,,,,,batch-cpu,None,00:00:00,6,,,0:0,,,6M,6,6,02:16:15,3139200,768,00:00:00,384,00:00:00,,,billing=384;cpu=384;mem=6M;node=6,billing=768;cpu=768;node=6,,,SchedMain;StartReceived,,,
1014,1014,6889,test_user15,testing,test_user15-NaZ4,10,2025-08-02T15:41:57,2025-08-02T17:59:14,2025-08-02T18:07:38,COMPLETED,0:0,1,system_testing,86400,2025-08-02T15:41:57,,00:00:00,451584,504,,,,normal,0,/home/test_user15/stochsimsched,,,,,,,batch-cpu,None,00:00:00,7,,,0:0,,,7M,7,7,02:17:17,3690176,896,00:00:00,448,00:00:00,,,billing=448;cpu=448;mem=7M;node=7,billing=896;cpu=896;node=7,,,SchedMain;StartReceived,,,
1016,1016,6890,test_user17,testing,test_user17-XW0B,10,2025-08-02T15:41:57,2025-08-02T18:06:56,2025-08-02T18:15:59,COMPLETED,0:0,1,system_testing,86400,2025-08-02T15:41:57,,00:00:00,486528,543,,,,normal,0,/home/test_user17/stochsimsched,,,,,,,batch-cpu,None,00:00:00,7,,,0:0,,,7M,7,7,02:24:59,3897152,896,00:00:00,448,00:00:00,,,billing=448;cpu=448;mem=7M;node=7,billing=896;cpu=896;node=7,,,SchedMain;StartReceived,,,
1013,1013,6891,test_user14,testing,test_user14-LNiH,10,2025-08-02T15:41:57,2025-08-02T18:06:32,2025-08-02T18:15:15,COMPLETED,0:0,1,system_testing,86400,2025-08-02T15:41:58,,00:00:00,401664,523,,,,normal,0,/home/test_user14/stochsimsched,,,,,,,batch-cpu,None,00:00:00,6,,,0:0,,,6M,6,6,02:24:34,3330816,768,00:00:00,384,00:00:00,,,billing=384;cpu=384;mem=6M;node=6,billing=768;cpu=768;node=6,,,SchedBackfill;StartReceived,,,
