UID,JobIDRaw,JobName,TimelimitRaw,Submit,Start,End,State,Priority,ElapsedRaw,QOS,Restarts,NNodes,Planned,Flags
1010,6882,test_user11-qGHP,10,2025-08-02T15:41:56,2025-08-02T15:41:57,2025-08-02T15:42:25,PREEMPTED,86400,28,normal,0,8,00:00:01,SchedMain;StartReceived
1019,6883,test_user20-YdNC,10,2025-08-02T15:41:56,2025-08-02T15:41:57,2025-08-02T15:48:26,PREEMPTED,86400,389,normal,0,3,00:00:01,SchedMain;StartReceived
1015,6884,test_user16-7nZ2,10,2025-08-02T15:41:56,2025-08-02T15:41:57,2025-08-02T15:50:15,COMPLETED,172800,498,high,0,9,00:00:01,SchedMain;StartReceived
1018,6885,test_user19-NwOK,10,2025-08-02T15:41:56,2025-08-02T17:50:47,2025-08-02T17:59:14,COMPLETED,86400,507,normal,0,5,02:08:51,SchedMain;StartReceived
1012,6886,test_user13-0DAp,10,2025-08-02T15:41:56,2025-08-02T17:58:12,2025-08-02T18:06:56,COMPLETED,86400,524,normal,0,7,02:16:15,SchedMain;StartReceived
1017,6887,test_user18-MT3r,10,2025-08-02T15:41:57,2025-08-02T16:58:58,2025-08-02T17:06:41,PREEMPTED,86400,463,normal,0,3,01:17:01,SchedBackfill;StartReceived
1011,6888,test_user12-ByOT,10,2025-08-02T15:41:57,2025-08-02T17:58:12,2025-08-02T18:06:22,COMPLETED,86400,490,normal,0,6,02:16:15,SchedMain;StartReceived
1014,6889,test_user15-NaZ4,10,2025-08-02T15:41:57,2025-08-02T17:59:14,2025-08-02T18:07:38,COMPLETED,86400,504,normal,0,7,02:17:17,SchedMain;StartReceived
1016,6890,test_user17-XW0B,10,2025-08-02T15:41:57,2025-08-02T18:06:56,2025-08-02T18:15:59,COMPLETED,86400,543,normal,0,7,02:24:59,SchedMain;StartReceived
1013,6891,test_user14-LNiH,10,2025-08-02T15:41:57,2025-08-02T18:06:32,2025-08-02T18:15:15,COMPLETED,86400,523,normal,0,6,02:24:34,SchedBackfill;StartReceived
1002,6892,test_user3-eWGC,10,2025-08-02T15:42:21,2025-08-02T18:07:39,2025-08-02T18:16:36,COMPLETED,86400,537,normal,0,7,02:25:18,SchedMain;StartReceived
1005,6893,test_user6-SGFP,10,2025-08-02T15:42:21,2025-08-02T18:15:59,2025-08-02T18:24:16,COMPLETED,86400,497,normal,0,8,02:33:38,SchedMain;StartReceived
1003,6894,test_user4-9wby,10,2025-08-02T15:42:21,2025-08-02T17:33:29,2025-08-02T17:41:31,PREEMPTED,86400,482,normal,0,3,01:51:08,SchedBackfill;StartReceived
1008,6895,test_user9-F3Yu,10,2025-08-02T15:42:21,2025-08-02T18:15:32,2025-08-02T18:24:32,COMPLETED,86400,540,normal,0,5,02:33:10,SchedBackfill;StartReceived
1004,6896,test_user5-jekz,10,2025-08-02T15:42:22,2025-08-02T18:16:36,2025-08-02T18:25:09,COMPLETED,86400,513,normal,0,6,02:34:14,SchedMain;StartReceived
1006,6897,test_user7-Uwym,10,2025-08-02T15:42:22,2025-08-02T18:24:33,2025-08-02T18:33:25,COMPLETED,86400,532,normal,0,9,02:42:11,SchedMain;StartReceived
1000,6898,test_user1-LGJZ,10,2025-08-02T15:42:22,2025-08-02T18:25:09,2025-08-02T18:33:17,COMPLETED,86400,488,normal,0,10,02:42:47,SchedMain;StartReceived
1007,6899,test_user8-SMrK,10,2025-08-02T15:42:22,2025-08-02T15:42:28,2025-08-02T15:51:24,COMPLETED,172800,536,high,0,7,00:00:06,SchedMain;StartReceived
1001,6900,test_user2-KCcE,10,2025-08-02T15:42:22,2025-08-02T15:50:15,2025-08-02T15:58:52,COMPLETED,172800,517,high,0,5,00:07:53,SchedMain;StartReceived
1009,6901,test_user10-0uH6,10,2025-08-02T15:42:22,2025-08-02T18:33:17,2025-08-02T18:41:40,COMPLETED,86400,503,normal,0,7,02:50:54,SchedMain;StartReceived
1019,6902,test_user20-FLce,10,2025-08-02T15:42:44,2025-08-02T18:33:25,2025-08-02T18:41:28,COMPLETED,86400,483,normal,0,10,02:50:41,SchedMain;StartReceived
1010,6903,test_user11-EExL,10,2025-08-02T15:42:55,2025-08-02T15:51:24,2025-08-02T16:00:17,COMPLETED,172800,533,high,0,9,00:08:29,SchedMain;StartReceived
1012,6904,test_user13-4eJ2,10,2025-08-02T15:43:01,2025-08-02T16:50:28,2025-08-02T16:58:08,PREEMPTED,86400,460,normal,0,1,01:07:27,SchedBackfill;StartReceived
1011,6905,test_user12-jz3W,10,2025-08-02T15:43:01,2025-08-02T18:41:28,2025-08-02T18:49:44,COMPLETED,86400,496,normal,0,5,02:58:27,SchedMain;StartReceived
1015,6906,test_user16-eNyh,10,2025-08-02T15:43:03,2025-08-02T15:58:52,2025-08-02T16:07:26,COMPLETED,172800,514,high,0,9,00:15:49,SchedMain;StartReceived
1007,6907,test_user8-61oD,10,2025-08-02T15:43:06,2025-08-02T18:41:28,2025-08-02T18:49:47,COMPLETED,86400,499,normal,0,5,02:58:22,SchedMain;StartReceived
1017,6908,test_user18-4K6f,10,2025-08-02T15:43:08,2025-08-02T18:33:33,2025-08-02T18:42:00,COMPLETED,86400,507,normal,0,2,02:50:25,SchedBackfill;StartReceived
1018,6909,test_user19-GhZm,10,2025-08-02T15:43:09,2025-08-02T18:41:40,2025-08-02T18:50:23,COMPLETED,86400,523,normal,0,2,02:58:31,SchedMain;StartReceived
1009,6910,test_user10-Rujw,10,2025-08-02T15:43:12,2025-08-02T18:42:00,2025-08-02T18:50:39,COMPLETED,86400,519,normal,0,8,02:58:48,SchedMain;StartReceived
1016,6911,test_user17-0CrN,10,2025-08-02T15:43:12,2025-08-02T18:49:47,2025-08-02T18:58:42,COMPLETED,86400,535,normal,0,9,03:06:35,SchedMain;StartReceived
1003,6912,test_user4-qvic,10,2025-08-02T15:43:15,2025-08-02T18:50:23,2025-08-02T18:59:05,COMPLETED,86400,522,normal,0,3,03:07:08,SchedMain;StartReceived
1014,6913,test_user15-45sV,10,2025-08-02T15:43:15,2025-08-02T18:59:05,2025-08-02T19:07:33,COMPLETED,86400,508,normal,0,10,03:15:50,SchedMain;StartReceived
1013,6914,test_user14-ipCj,10,2025-08-02T15:43:16,2025-08-02T18:51:03,2025-08-02T18:59:46,COMPLETED,86400,523,normal,0,7,03:07:47,SchedBackfill;StartReceived
1002,6915,test_user3-FHcG,10,2025-08-02T15:43:24,2025-08-02T18:59:46,2025-08-02T19:07:51,COMPLETED,86400,485,normal,0,4,03:16:22,SchedMain;StartReceived
1008,6916,test_user9-xVQU,10,2025-08-02T15:43:29,2025-08-02T18:59:46,2025-08-02T19:08:44,COMPLETED,86400,538,normal,0,5,03:16:17,SchedMain;StartReceived
