UID|GID|JobIDRaw|Group|Account|JobName|TimelimitRaw|Submit|Start|End|State|ExitCode|ReservationId|Reservation|Priority|Eligible|Constraints|SystemCPU|CPUTimeRAW|ElapsedRaw|Layout|NTasks|QOSREQ|QOS|Restarts|WorkDir|ConsumedEnergyRaw|FailedNode|AveDiskRead|AveDiskWrite|MaxDiskRead|MaxDiskWrite|Partition|Reason|Suspended|AllocNodes|AveRSS|MaxRSS|DerivedExitCode|AveVMSize|MaxVMSize|ReqMem|ReqNodes|NNodes|Planned|PlannedCPURAW|NCPUS|UserCPU|ReqCPUS|TotalCPU|TRESUsageInTot|TRESUsageOutTot|ReqTRES|AllocTRES|TRESUsageInMax|TRESUsageOutMax|Flags|Comment|SystemComment|AdminComment
1010|1010|6882|test_user11|testing|test_user11-qGHP|10|2025-08-02T15:41:56|2025-08-02T15:41:57|2025-08-02T15:42:25|PREEMPTED|0:0|1|system_testing|86400|2025-08-02T15:41:56||00:00:00|28672|28||||normal|0|/home/test_user11/stochsimsched|||||||batch-cpu|None|00:00:00|8|||0:15|||8M|8|8|00:00:01|512|1024|00:00:00|512|00:00:00|||billing=512,cpu=512,mem=8M,node=8|billing=1024,cpu=1024,node=8|||SchedMain,StartReceived|||
||6882.batch||testing|batch||2025-08-02T15:41:57|2025-08-02T15:41:57|2025-08-02T15:42:26|CANCELLED|0:15||||2025-08-02T15:41:57||00:00:00|1856|29|Unknown|1|||||0||||||||00:00:00|1|||||||1|1|||64|00:00:00|64|00:00:00||||cpu=64,mem=0,node=1||||||
||6882.extern||testing|extern||2025-08-02T15:41:57|2025-08-02T15:41:57|2025-08-02T15:42:27|COMPLETED|0:0||||2025-08-02T15:41:57||00:00:00|30720|30|Unknown|8|||||0||||||||00:00:00|8|||||||8|8|||1024|00:00:00|1024|00:00:00||||billing=1024,cpu=1024,node=8||||||
||6882.0||testing|mpicatnap||2025-08-02T15:41:58|2025-08-02T15:41:58|2025-08-02T15:42:27|CANCELLED|0:15||||2025-08-02T15:41:58||00:00:00|14848|29|Block|512|||||0||||||||00:00:00|8|||||||8|8|||512|00:00:00|512|00:00:00||||cpu=512,mem=0,node=8||||||
1019|1019|6883|test_user20|testing|test_user20-YdNC|10|2025-08-02T15:41:56|2025-08-02T15:41:57|2025-08-02T15:48:26|PREEMPTED|0:0|1|system_testing|86400|2025-08-02T15:41:56||00:00:00|149376|389||||normal|0|/home/test_user20/stochsimsched|||||||batch-cpu|None|00:00:00|3|||0:15|||3M|3|3|00:00:01|192|384|00:00:00|192|00:00:00|||billing=192,cpu=192,mem=3M,node=3|billing=384,cpu=384,node=3|||SchedMain,StartReceived|||
||6883.batch||testing|batch||2025-08-02T15:41:57|2025-08-02T15:41:57|2025-08-02T15:48:27|CANCELLED|0:15||||2025-08-02T15:41:57||00:00:00|24960|390|Unknown|1|||||0||||||||00:00:00|1|||||||1|1|||64|00:00:00|64|00:00:00||||cpu=64,mem=0,node=1||||||
||6883.extern||testing|extern||2025-08-02T15:41:57|2025-08-02T15:41:57|2025-08-02T15:48:28|COMPLETED|0:0||||2025-08-02T15:41:57||00:00:00|150144|391|Unknown|3|||||0||||||||00:00:00|3|||||||3|3|||384|00:00:00|384|00:00:00||||billing=384,cpu=384,node=3||||||
||6883.0||testing|mpicatnap||2025-08-02T15:41:57|2025-08-02T15:41:57|2025-08-02T15:48:28|CANCELLED|0:15||||2025-08-02T15:41:57||00:00:00|75072|391|Block|192|||||0||||||||00:00:00|3|||||||3|3|||192|00:00:00|192|00:00:00||||cpu=192,mem=0,node=3||||||
1015|1015|6884|test_user16|testing|test_user16-7nZ2|10|2025-08-02T15:41:56|2025-08-02T15:41:57|2025-08-02T15:50:15|COMPLETED|0:0|1|system_testing|172800|2025-08-02T15:41:56||00:00:00|573696|498|||high|high|0|/home/test_user16/stochsimsched|||||||batch-cpu|None|00:00:00|9|||0:0|||9M|9|9|00:00:01|576|1152|00:00:00|576|00:00:00|||billing=576,cpu=576,mem=9M,node=9|billing=1152,cpu=1152,node=9|||SchedMain,StartReceived|||
||6884.batch||testing|batch||2025-08-02T15:41:57|2025-08-02T15:41:57|2025-08-02T15:50:15|COMPLETED|0:0||||2025-08-02T15:41:57||00:00:00|31872|498|Unknown|1|||||0||||||||00:00:00|1|||||||1|1|||64|00:00:00|64|00:00:00||||cpu=64,mem=0,node=1||||||
||6884.extern||testing|extern||2025-08-02T15:41:57|2025-08-02T15:41:57|2025-08-02T15:50:15|COMPLETED|0:0||||2025-08-02T15:41:57||00:00:00|573696|498|Unknown|9|||||0||||||||00:00:00|9|||||||9|9|||1152|00:00:00|1152|00:00:00||||billing=1152,cpu=1152,node=9||||||
||6884.0||testing|mpicatnap||2025-08-02T15:41:57|2025-08-02T15:41:57|2025-08-02T15:50:15|COMPLETED|0:0||||2025-08-02T15:41:57||00:00:00|286848|498|Block|576|||||0||||||||00:00:00|9|||||||9|9|||576|00:00:00|576|00:00:00||||cpu=576,mem=0,node=9||||||
1018|1018|6885|test_user19|testing|test_user19-NwOK|10|2025-08-02T15:41:56|2025-08-02T17:50:47|2025-08-02T17:59:14|COMPLETED|0:0|1|system_testing|86400|2025-08-02T15:41:56||00:00:00|324480|507||||normal|0|/home/test_user19/stochsimsched|||||||batch-cpu|None|00:00:00|5|||0:0|||5M|5|5|02:08:51|2473920|640|00:00:00|320|00:00:00|||billing=320,cpu=320,mem=5M,node=5|billing=640,cpu=640,node=5|||SchedMain,StartReceived|||
||6885.batch||testing|batch||2025-08-02T17:50:47|2025-08-02T17:50:47|2025-08-02T17:59:14|COMPLETED|0:0||||2025-08-02T17:50:47||00:00:00|32448|507|Unknown|1|||||0||||||||00:00:00|1|||||||1|1|||64|00:00:00|64|00:00:00||||cpu=64,mem=0,node=1||||||
||6885.extern||testing|extern||2025-08-02T17:50:47|2025-08-02T17:50:47|2025-08-02T17:59:14|COMPLETED|0:0||||2025-08-02T17:50:47||00:00:00|324480|507|Unknown|5|||||0||||||||00:00:00|5|||||||5|5|||640|00:00:00|640|00:00:00||||billing=640,cpu=640,node=5||||||
||6885.0||testing|mpicatnap||2025-08-02T17:50:47|2025-08-02T17:50:47|2025-08-02T17:59:14|COMPLETED|0:0||||2025-08-02T17:50:47||00:00:00|162240|507|Block|320|||||0||||||||00:00:00|5|||||||5|5|||320|00:00:00|320|00:00:00||||cpu=320,mem=0,node=5||||||
1012|1012|6886|test_user13|testing|test_user13-0DAp|10|2025-08-02T15:41:56|2025-08-02T17:58:12|2025-08-02T18:06:56|COMPLETED|0:0|1|system_testing|86400|2025-08-02T15:41:57||00:00:00|469504|524||||normal|0|/home/test_user13/stochsimsched|||||||batch-cpu|None|00:00:00|7|||0:0|||7M|7|7|02:16:15|3662400|896|00:00:00|448|00:00:00|||billing=448,cpu=448,mem=7M,node=7|billing=896,cpu=896,node=7|||SchedMain,StartReceived|||
