UID|GID|JobIDRaw|Group|Account|JobName|TimelimitRaw|Submit|Start|End|State|ExitCode|ReservationId|Reservation|Priority|Eligible|Constraints|SystemCPU|CPUTimeRAW|ElapsedRaw|Layout|NTasks|QOSREQ|QOS|Restarts|WorkDir|ConsumedEnergyRaw|FailedNode|AveDiskRead|AveDiskWrite|MaxDiskRead|MaxDiskWrite|Partition|Reason|Suspended|AllocNodes|AveRSS|MaxRSS|DerivedExitCode|AveVMSize|MaxVMSize|ReqMem|ReqNodes|NNodes|Planned|PlannedCPURAW|NCPUS|UserCPU|ReqCPUS|TotalCPU|TRESUsageInTot|TRESUsageOutTot|ReqTRES|AllocTRES|TRESUsageInMax|TRESUsageOutMax|Flags|Comment|SystemComment|AdminComment
1008|1008|4464|test_user9|testing|test_user9-rQR1|9|2025-07-31T09:50:16|2025-07-31T09:50:34|2025-07-31T09:52:44|COMPLETED|0:0|1|system_testing|86400|2025-07-31T09:50:17||00:00:00|16640|130||||normal|0|/home/test_user9/stochsimsched|||||||batch-cpu|None|00:00:00|1|||0:0|||1M|1|1|00:00:17|1088|128|00:00:00|64|00:00:00|||billing=64,cpu=64,mem=1M,node=1|billing=128,cpu=128,node=1|||SchedMain,StartReceived|||
||4464.batch||testing|batch||2025-07-31T09:50:34|2025-07-31T09:50:34|2025-07-31T09:52:44|COMPLETED|0:0||||2025-07-31T09:50:34||00:00:00|8320|130|Unknown|1|||||0||||||||00:00:00|1|||||||1|1|||64|00:00:00|64|00:00:00||||cpu=64,mem=0,node=1||||||
||4464.extern||testing|extern||2025-07-31T09:50:34|2025-07-31T09:50:34|2025-07-31T09:52:44|COMPLETED|0:0||||2025-07-31T09:50:34||00:00:00|16640|130|Unknown|1|||||0||||||||00:00:00|1|||||||1|1|||128|00:00:00|128|00:00:00||||billing=128,cpu=128,node=1||||||
||4464.0||testing|mpicatnap||2025-07-31T09:50:35|2025-07-31T09:50:35|2025-07-31T09:52:44|COMPLETED|0:0||||2025-07-31T09:50:35||00:00:00|8256|129|Block|64|||||0||||||||00:00:00|1|||||||1|1|||64|00:00:00|64|00:00:00||||cpu=64,mem=0,node=1||||||
1007|1007|4465|test_user8|testing|test_user8-cJdM|9|2025-07-31T09:50:17|2025-07-31T09:55:51|2025-07-31T10:02:56|PREEMPTED|0:0|1|system_testing|86400|2025-07-31T09:50:17||00:00:00|489600|425||||normal|0|/home/test_user8/stochsimsched|||||||batch-cpu|None|00:00:00|9|||0:15|||9M|9|9|00:05:34|192384|1152|00:00:00|576|00:00:00|||billing=576,cpu=576,mem=9M,node=9|billing=1152,cpu=1152,node=9|||SchedMain,StartReceived|||
||4465.batch||testing|batch||2025-07-31T09:55:51|2025-07-31T09:55:51|2025-07-31T10:02:58|CANCELLED|0:15||||2025-07-31T09:55:51||00:00:00|27328|427|Unknown|1|||||0||||||||00:00:00|1|||||||1|1|||64|00:00:00|64|00:00:00||||cpu=64,mem=0,node=1||||||
||4465.extern||testing|extern||2025-07-31T09:55:51|2025-07-31T09:55:51|2025-07-31T10:02:59|COMPLETED|0:0||||2025-07-31T09:55:51||00:00:00|493056|428|Unknown|9|||||0||||||||00:00:00|9|||||||9|9|||1152|00:00:00|1152|00:00:00||||billing=1152,cpu=1152,node=9||||||
||4465.0||testing|mpicatnap||2025-07-31T09:55:51|2025-07-31T09:55:51|2025-07-31T10:02:59|CANCELLED|0:15||||2025-07-31T09:55:51||00:00:00|246528|428|Block|576|||||0||||||||00:00:00|9|||||||9|9|||576|00:00:00|576|00:00:00||||cpu=576,mem=0,node=9||||||
1014|1014|4466|test_user15|testing|test_user15-OWg8|3|2025-07-31T09:50:17|2025-07-31T09:58:24|2025-07-31T10:01:12|PREEMPTED|0:0|1|system_testing|86400|2025-07-31T09:50:17||00:00:00|64512|168||||normal|0|/home/test_user15/stochsimsched|||||||batch-cpu|None|00:00:00|3|||0:15|||3M|3|3|00:08:07|93504|384|00:00:00|192|00:00:00|||billing=192,cpu=192,mem=3M,node=3|billing=384,cpu=384,node=3|||SchedMain,StartReceived|||
||4466.batch||testing|batch||2025-07-31T09:58:24|2025-07-31T09:58:24|2025-07-31T10:01:14|CANCELLED|0:15||||2025-07-31T09:58:24||00:00:00|10880|170|Unknown|1|||||0||||||||00:00:00|1|||||||1|1|||64|00:00:00|64|00:00:00||||cpu=64,mem=0,node=1||||||
