UID,GID,JobIDRaw,Group,Account,JobName,TimelimitRaw,Submit,Start,End,State,ExitCode,ReservationId,Reservation,Priority,Eligible,Constraints,SystemCPU,CPUTimeRAW,ElapsedRaw,Layout,NTasks,QOSREQ,QOS,Restarts,WorkDir,ConsumedEnergyRaw,FailedNode,AveDiskRead,AveDiskWrite,MaxDiskRead,MaxDiskWrite,Partition,Reason,Suspended,AllocNodes,AveRSS,MaxRSS,DerivedExitCode,AveVMSize,MaxVMSize,ReqMem,ReqNodes,NNodes,Planned,PlannedCPURAW,NCPUS,UserCPU,ReqCPUS,TotalCPU,TRESUsageInTot,TRESUsageOutTot,ReqTRES,AllocTRES,TRESUsageInMax,TRESUsageOutMax,Flags,Comment,SystemComment,AdminComment
1019,1019,4881,test_user20,testing,test_user20-strA,1,2025-07-31T18:18:08,2025-07-31T18:18:08,2025-07-31T18:19:24,TIMEOUT,0:0,1,system_testing,86400,2025-07-31T18:18:08,,00:00:00,48640,76,,,,normal,0,/home/test_user20/stochsimsched,,,,,,,batch-cpu,None,00:00:00,5,,,0:15,,,5M,5,5,00:00:00,0,640,00:00:00,320,00:00:00,,,billing=320;cpu=320;mem=5M;node=5,billing=640;cpu=640;node=5,,,SchedMain;StartReceived,,,
,,4881.extern,,testing,extern,,2025-07-31T18:18:08,2025-07-31T18:18:08,2025-07-31T18:19:26,COMPLETED,0:0,,,,2025-07-31T18:18:08,,00:00:00,49920,78,Unknown,5,,,,,0,,,,,,,,00:00:00,5,,,,,,,5,5,,,640,00:00:00,640,00:00:00,,,,billing=640;cpu=640;node=5,,,,,,
1018,1018,4882,test_user19,testing,test_user19-ZvGm,5,2025-07-31T18:18:08,2025-07-31T18:18:09,2025-07-31T18:20:28,COMPLETED,0:0,1,system_testing,86400,2025-07-31T18:18:08,,00:00:00,88960,139,,,,normal,0,/home/test_user19/stochsimsched,,,,,,,batch-cpu,None,00:00:00,5,,,0:0,,,5M,5,5,00:00:01,320,640,00:00:00,320,00:00:00,,,billing=320;cpu=320;mem=5M;node=5,billing=640;cpu=640;node=5,,,SchedMain;StartReceived,,,
,,4882.batch,,testing,batch,,2025-07-31T18:18:09,2025-07-31T18:18:09,2025-07-31T18:20:28,COMPLETED,0:0,,,,2025-07-31T18:18:09,,00:00:00,8896,139,Unknown,1,,,,,0,,,,,,,,00:00:00,1,,,,,,,1,1,,,64,00:00:00,64,00:00:00,,,,cpu=64;mem=0;node=1,,,,,,
,,4882.extern,,testing,extern,,2025-07-31T18:18:09,2025-07-31T18:18:09,2025-07-31T18:20:28,COMPLETED,0:0,,,,2025-07-31T18:18:09,,00:00:00,88960,139,Unknown,5,,,,,0,,,,,,,,00:00:00,5,,,,,,,5,5,,,640,00:00:00,640,00:00:00,,,,billing=640;cpu=640;node=5,,,,,,
,,4882.0,,testing,mpicatnap,,2025-07-31T18:18:09,2025-07-31T18:18:09,2025-07-31T18:20:28,COMPLETED,0:0,,,,2025-07-31T18:18:09,,00:00:00,44480,139,Block,320,,,,,0,,,,,,,,00:00:00,5,,,,,,,5,5,,,320,00:00:00,320,00:00:00,,,,cpu=320;mem=0;node=5,,,,,,
1017,1017,4883,test_user18,testing,test_user18-DLdK,1,2025-07-31T18:18:08,2025-07-31T18:18:09,2025-07-31T18:19:24,TIMEOUT,0:0,1,system_testing,86400,2025-07-31T18:18:08,,00:00:00,96000,75,,,,normal,0,/home/test_user18/stochsimsched,,,,,,,batch-cpu,None,00:00:00,10,,,0:15,,,10M,10,10,00:00:01,640,1280,00:00:00,640,00:00:00,,,billing=640;cpu=640;mem=10M;node=10,billing=1280;cpu=1280;node=10,,,SchedMain;StartReceived,,,
,,4883.extern,,testing,extern,,2025-07-31T18:18:09,2025-07-31T18:18:09,2025-07-31T18:19:26,COMPLETED,0:0,,,,2025-07-31T18:18:09,,00:00:00,98560,77,Unknown,10,,,,,0,,,,,,,,00:00:00,10,,,,,,,10,10,,,1280,00:00:00,1280,00:00:00,,,,billing=1280;cpu=1280;node=10,,,,,,
1016,1016,4884,test_user17,testing,test_user17-Ii95,10,2025-07-31T18:18:08,2025-07-31T18:19:27,2025-07-31T18:21:55,TIMEOUT,0:0,1,system_testing,86400,2025-07-31T18:18:08,,00:00:00,132608,148,,,,normal,0,/home/test_user17/stochsimsched,,,,,,,batch-cpu,None,00:00:00,7,,,0:15,,,7M,7,7,00:01:19,35392,896,00:00:00,448,00:00:00,,,billing=448;cpu=448;mem=7M;node=7,billing=896;cpu=896;node=7,,,SchedMain;StartReceived,,,
,,4884.extern,,testing,extern,,2025-07-31T18:19:27,2025-07-31T18:19:27,2025-07-31T18:21:58,COMPLETED,0:0,,,,2025-07-31T18:19:27,,00:00:00,135296,151,Unknown,7,,,,,0,,,,,,,,00:00:00,7,,,,,,,7,7,,,896,00:00:00,896,00:00:00,,,,billing=896;cpu=896;node=7,,,,,,
