UID,GID,JobIDRaw,Group,Account,JobName,TimelimitRaw,Submit,Start,End,State,ExitCode,ReservationId,Reservation,Priority,Eligible,Constraints,SystemCPU,CPUTimeRAW,ElapsedRaw,Layout,NTasks,QOSREQ,QOS,Restarts,WorkDir,ConsumedEnergyRaw,FailedNode,AveDiskRead,AveDiskWrite,MaxDiskRead,MaxDiskWrite,Partition,Reason,Suspended,AllocNodes,AveRSS,MaxRSS,DerivedExitCode,AveVMSize,MaxVMSize,ReqMem,ReqNodes,NNodes,Planned,PlannedCPURAW,NCPUS,UserCPU,ReqCPUS,TotalCPU,TRESUsageInTot,TRESUsageOutTot,ReqTRES,AllocTRES,TRESUsageInMax,TRESUsageOutMax,Flags,Comment,SystemComment,AdminComment
1019,1019,4881,test_user20,testing,test_user20-strA,1,2025-07-31T18:18:08,2025-07-31T18:18:08,2025-07-31T18:19:24,TIMEOUT,0:0,1,system_testing,86400,2025-07-31T18:18:08,,00:00:00,48640,76,,,,normal,0,/home/test_user20/stochsimsched,,,,,,,batch-cpu,None,00:00:00,5,,,0:15,,,5M,5,5,00:00:00,0,640,00:00:00,320,00:00:00,,,billing=320;cpu=320;mem=5M;node=5,billing=640;cpu=640;node=5,,,SchedMain;StartReceived,,,
1018,1018,4882,test_user19,testing,test_user19-ZvGm,5,2025-07-31T18:18:08,2025-07-31T18:18:09,2025-07-31T18:20:28,COMPLETED,0:0,1,system_testing,86400,2025-07-31T18:18:08,,00:00:00,88960,139,,,,normal,0,/home/test_user19/stochsimsched,,,,,,,batch-cpu,None,00:00:00,5,,,0:0,,,5M,5,5,00:00:01,320,640,00:00:00,320,00:00:00,,,billing=320;cpu=320;mem=5M;node=5,billing=640;cpu=640;node=5,,,SchedMain;StartReceived,,,
1017,1017,4883,test_user18,testing,test_user18-DLdK,1,2025-07-31T18:18:08,2025-07-31T18:18:09,2025-07-31T18:19:24,TIMEOUT,0:0,1,system_testing,86400,2025-07-31T18:18:08,,00:00:00,96000,75,,,,normal,0,/home/test_user18/stochsimsched,,,,,,,batch-cpu,None,00:00:00,10,,,0:15,,,10M,10,10,00:00:01,640,1280,00:00:00,640,00:00:00,,,billing=640;cpu=640;mem=10M;node=10,billing=1280;cpu=1280;node=10,,,SchedMain;StartReceived,,,
1016,1016,4884,test_user17,testing,test_user17-Ii95,10,2025-07-31T18:18:08,2025-07-31T18:19:27,2025-07-31T18:21:55,TIMEOUT,0:0,1,system_testing,86400,2025-07-31T18:18:08,,00:00:00,132608,148,,,,normal,0,/home/test_user17/stochsimsched,,,,,,,batch-cpu,None,00:00:00,7,,,0:15,,,7M,7,7,00:01:19,35392,896,00:00:00,448,00:00:00,,,billing=448;cpu=448;mem=7M;node=7,billing=896;cpu=896;node=7,,,SchedMain;StartReceived,,,
1001,1001,4885,test_user2,testing,test_user2-BvqZ,6,2025-07-31T18:18:23,2025-07-31T18:21:59,2025-07-31T18:22:47,TIMEOUT,0:0,1,system_testing,86400,2025-07-31T18:18:23,,00:00:00,61440,48,,,,normal,0,/home/test_user2/stochsimsched,,,,,,,batch-cpu,None,00:00:00,10,,,0:15,,,10M,10,10,00:03:36,138240,1280,00:00:00,640,00:00:00,,,billing=640;cpu=640;mem=10M;node=10,billing=1280;cpu=1280;node=10,,,SchedMain;StartReceived,,,
1014,1014,4886,test_user15,testing,test_user15-Da9r,3,2025-07-31T18:18:23,2025-07-31T18:25:42,2025-07-31T18:27:58,COMPLETED,0:0,1,system_testing,86400,2025-07-31T18:18:23,,00:00:00,156672,136,,,,normal,0,/home/test_user15/stochsimsched,,,,,,,batch-cpu,None,00:00:00,9,,,0:0,,,9M,9,9,00:07:19,252864,1152,00:00:00,576,00:00:00,,,billing=576;cpu=576;mem=9M;node=9,billing=1152;cpu=1152;node=9,,,SchedMain;StartReceived,,,
1004,1004,4887,test_user5,testing,test_user5-G8jD,6,2025-07-31T18:18:23,2025-07-31T18:27:58,2025-07-31T18:34:26,TIMEOUT,0:0,1,system_testing,86400,2025-07-31T18:18:23,,00:00:00,297984,388,,,,normal,0,/home/test_user5/stochsimsched,,,,,,,batch-cpu,None,00:00:00,6,,,0:0,,,6M,6,6,00:09:35,220800,768,00:00:00,384,00:00:00,,,billing=384;cpu=384;mem=6M;node=6,billing=768;cpu=768;node=6,,,SchedMain;StartReceived,,,
1012,1012,4888,test_user13,testing,test_user13-GRqB,3,2025-07-31T18:18:23,2025-07-31T18:19:31,2025-07-31T18:21:40,COMPLETED,0:0,1,system_testing,86400,2025-07-31T18:18:23,,00:00:00,99072,129,,,,normal,0,/home/test_user13/stochsimsched,,,,,,,batch-cpu,None,00:00:00,6,,,0:0,,,6M,6,6,00:01:08,26112,768,00:00:00,384,00:00:00,,,billing=384;cpu=384;mem=6M;node=6,billing=768;cpu=768;node=6,,,SchedBackfill;StartReceived,,,
1013,1013,4889,test_user14,testing,test_user14-qQZM,8,2025-07-31T18:18:23,2025-07-31T18:19:31,2025-07-31T18:21:49,COMPLETED,0:0,1,system_testing,86400,2025-07-31T18:18:23,,00:00:00,35328,138,,,,normal,0,/home/test_user14/stochsimsched,,,,,,,batch-cpu,None,00:00:00,2,,,0:0,,,2M,2,2,00:01:08,8704,256,00:00:00,128,00:00:00,,,billing=128;cpu=128;mem=2M;node=2,billing=256;cpu=256;node=2,,,SchedBackfill;StartReceived,,,
1005,1005,4890,test_user6,testing,test_user6-0Qp3,3,2025-07-31T18:18:23,2025-07-31T18:23:01,2025-07-31T18:26:05,TIMEOUT,0:0,1,system_testing,86400,2025-07-31T18:18:23,,00:00:00,23552,184,,,,normal,0,/home/test_user6/stochsimsched,,,,,,,batch-cpu,None,00:00:00,1,,,0:0,,,1M,1,1,00:04:38,17792,128,00:00:00,64,00:00:00,,,billing=64;cpu=64;mem=1M;node=1,billing=128;cpu=128;node=1,,,SchedBackfill;StartReceived,,,
