UID,GID,JobIDRaw,Group,Account,JobName,TimelimitRaw,Submit,Start,End,State,ExitCode,ReservationId,Reservation,Priority,Eligible,Constraints,SystemCPU,CPUTimeRAW,ElapsedRaw,Layout,NTasks,QOSREQ,QOS,Restarts,WorkDir,ConsumedEnergyRaw,FailedNode,AveDiskRead,AveDiskWrite,MaxDiskRead,MaxDiskWrite,Partition,Reason,Suspended,AllocNodes,AveRSS,MaxRSS,DerivedExitCode,AveVMSize,MaxVMSize,ReqMem,ReqNodes,NNodes,Planned,PlannedCPURAW,NCPUS,UserCPU,ReqCPUS,TotalCPU,TRESUsageInTot,TRESUsageOutTot,ReqTRES,AllocTRES,TRESUsageInMax,TRESUsageOutMax,Flags,Comment,SystemComment,AdminComment
1013,1013,5690,test_user14,testing,test_user14-47hf,7,2025-08-01T19:04:42,2025-08-01T20:12:10,2025-08-01T20:16:50,COMPLETED,0:0,1,system_testing,86400,2025-08-01T19:04:43,,00:00:00,358400,280,,,,normal,0,/home/test_user14/stochsimsched,,,,,,,batch-cpu,None,00:00:00,10,,,0:0,,,10M,10,10,01:07:27,2590080,1280,00:00:00,640,00:00:00,,,billing=640;cpu=640;mem=10M;node=10,billing=1280;cpu=1280;node=10,,,SchedMain;StartReceived,,,
,,5690.batch,,testing,batch,,2025-08-01T20:12:10,2025-08-01T20:12:10,2025-08-01T20:16:50,COMPLETED,0:0,,,,2025-08-01T20:12:10,,00:00:00,17920,280,Unknown,1,,,,,0,,,,,,,,00:00:00,1,,,,,,,1,1,,,64,00:00:00,64,00:00:00,,,,cpu=64;mem=0;node=1,,,,,,
,,5690.extern,,testing,extern,,2025-08-01T20:12:10,2025-08-01T20:12:10,2025-08-01T20:16:50,COMPLETED,0:0,,,,2025-08-01T20:12:10,,00:00:00,358400,280,Unknown,10,,,,,0,,,,,,,,00:00:00,10,,,,,,,10,10,,,1280,00:00:00,1280,00:00:00,,,,billing=1280;cpu=1280;node=10,,,,,,
,,5690.0,,testing,mpicatnap,,2025-08-01T20:12:10,2025-08-01T20:12:10,2025-08-01T20:16:50,COMPLETED,0:0,,,,2025-08-01T20:12:10,,00:00:00,179200,280,Block,640,,,,,0,,,,,,,,00:00:00,10,,,,,,,10,10,,,640,00:00:00,640,00:00:00,,,,cpu=640;mem=0;node=10,,,,,,
1017,1017,5691,test_user18,testing,test_user18-iOG2,8,2025-08-01T19:04:43,2025-08-01T20:09:37,2025-08-01T20:14:50,COMPLETED,0:0,1,system_testing,86400,2025-08-01T19:04:43,,00:00:00,280448,313,,,,normal,0,/home/test_user18/stochsimsched,,,,,,,batch-cpu,None,00:00:00,7,,,0:0,,,7M,7,7,01:04:54,1744512,896,00:00:00,448,00:00:00,,,billing=448;cpu=448;mem=7M;node=7,billing=896;cpu=896;node=7,,,SchedBackfill;StartReceived,,,
,,5691.batch,,testing,batch,,2025-08-01T20:09:37,2025-08-01T20:09:37,2025-08-01T20:14:50,COMPLETED,0:0,,,,2025-08-01T20:09:37,,00:00:00,20032,313,Unknown,1,,,,,0,,,,,,,,00:00:00,1,,,,,,,1,1,,,64,00:00:00,64,00:00:00,,,,cpu=64;mem=0;node=1,,,,,,
,,5691.extern,,testing,extern,,2025-08-01T20:09:37,2025-08-01T20:09:37,2025-08-01T20:14:50,COMPLETED,0:0,,,,2025-08-01T20:09:37,,00:00:00,280448,313,Unknown,7,,,,,0,,,,,,,,00:00:00,7,,,,,,,7,7,,,896,00:00:00,896,00:00:00,,,,billing=896;cpu=896;node=7,,,,,,
,,5691.0,,testing,mpicatnap,,2025-08-01T20:09:38,2025-08-01T20:09:38,2025-08-01T20:14:50,COMPLETED,0:0,,,,2025-08-01T20:09:38,,00:00:00,139776,312,Block,448,,,,,0,,,,,,,,00:00:00,7,,,,,,,7,7,,,448,00:00:00,448,00:00:00,,,,cpu=448;mem=0;node=7,,,,,,
1003,1003,5692,test_user4,testing,test_user4-TdI6,8,2025-08-01T19:04:50,2025-08-01T20:14:50,2025-08-01T20:19:53,COMPLETED,0:0,1,system_testing,86400,2025-08-01T19:04:50,,00:00:00,155136,303,,,,normal,0,/home/test_user4/stochsimsched,,,,,,,batch-cpu,None,00:00:00,4,,,0:0,,,4M,4,4,01:10:00,1075200,512,00:00:00,256,00:00:00,,,billing=256;cpu=256;mem=4M;node=4,billing=512;cpu=512;node=4,,,SchedMain;StartReceived,,,
,,5692.batch,,testing,batch,,2025-08-01T20:14:50,2025-08-01T20:14:50,2025-08-01T20:19:53,COMPLETED,0:0,,,,2025-08-01T20:14:50,,00:00:00,19392,303,Unknown,1,,,,,0,,,,,,,,00:00:00,1,,,,,,,1,1,,,64,00:00:00,64,00:00:00,,,,cpu=64;mem=0;node=1,,,,,,
,,5692.extern,,testing,extern,,2025-08-01T20:14:50,2025-08-01T20:14:50,2025-08-01T20:19:53,COMPLETED,0:0,,,,2025-08-01T20:14:50,,00:00:00,155136,303,Unknown,4,,,,,0,,,,,,,,00:00:00,4,,,,,,,4,4,,,512,00:00:00,512,00:00:00,,,,billing=512;cpu=512;node=4,,,,,,
,,5692.0,,testing,mpicatnap,,2025-08-01T20:14:50,2025-08-01T20:14:50,2025-08-01T20:19:53,COMPLETED,0:0,,,,2025-08-01T20:14:50,,00:00:00,77568,303,Block,256,,,,,0,,,,,,,,00:00:00,4,,,,,,,4,4,,,256,00:00:00,256,00:00:00,,,,cpu=256;mem=0;node=4,,,,,,
1005,1005,5694,test_user6,testing,test_user6-PsLP,9,2025-08-01T19:04:50,2025-08-01T20:16:50,2025-08-01T20:20:01,COMPLETED,0:0,1,system_testing,86400,2025-08-01T19:04:50,,00:00:00,220032,191,,,,normal,0,/home/test_user6/stochsimsched,,,,,,,batch-cpu,None,00:00:00,9,,,0:0,,,9M,9,9,01:12:00,2488320,1152,00:00:00,576,00:00:00,,,billing=576;cpu=576;mem=9M;node=9,billing=1152;cpu=1152;node=9,,,SchedMain;StartReceived,,,
,,5694.batch,,testing,batch,,2025-08-01T20:16:50,2025-08-01T20:16:50,2025-08-01T20:20:01,COMPLETED,0:0,,,,2025-08-01T20:16:50,,00:00:00,12224,191,Unknown,1,,,,,0,,,,,,,,00:00:00,1,,,,,,,1,1,,,64,00:00:00,64,00:00:00,,,,cpu=64;mem=0;node=1,,,,,,
,,5694.extern,,testing,extern,,2025-08-01T20:16:50,2025-08-01T20:16:50,2025-08-01T20:20:01,COMPLETED,0:0,,,,2025-08-01T20:16:50,,00:00:00,220032,191,Unknown,9,,,,,0,,,,,,,,00:00:00,9,,,,,,,9,9,,,1152,00:00:00,1152,00:00:00,,,,billing=1152;cpu=1152;node=9,,,,,,
,,5694.0,,testing,mpicatnap,,2025-08-01T20:16:50,2025-08-01T20:16:50,2025-08-01T20:20:01,COMPLETED,0:0,,,,2025-08-01T20:16:50,,00:00:00,110016,191,Block,576,,,,,0,,,,,,,,00:00:00,9,,,,,,,9,9,,,576,00:00:00,576,00:00:00,,,,cpu=576;mem=0;node=9,,,,,,
1002,1002,5695,test_user3,testing,test_user3-iyxX,10,2025-08-01T19:04:50,2025-08-01T20:16:08,2025-08-01T20:23:07,COMPLETED,0:0,1,system_testing,86400,2025-08-01T19:04:50,,00:00:00,214528,419,,,,normal,0,/home/test_user3/stochsimsched,,,,,,,batch-cpu,None,00:00:00,4,,,0:0,,,4M,4,4,01:11:18,1095168,512,00:00:00,256,00:00:00,,,billing=256;cpu=256;mem=4M;node=4,billing=512;cpu=512;node=4,,,SchedBackfill;StartReceived,,,
,,5695.batch,,testing,batch,,2025-08-01T20:16:08,2025-08-01T20:16:08,2025-08-01T20:23:07,COMPLETED,0:0,,,,2025-08-01T20:16:08,,00:00:00,26816,419,Unknown,1,,,,,0,,,,,,,,00:00:00,1,,,,,,,1,1,,,64,00:00:00,64,00:00:00,,,,cpu=64;mem=0;node=1,,,,,,
,,5695.extern,,testing,extern,,2025-08-01T20:16:08,2025-08-01T20:16:08,2025-08-01T20:23:07,COMPLETED,0:0,,,,2025-08-01T20:16:08,,00:00:00,214528,419,Unknown,4,,,,,0,,,,,,,,00:00:00,4,,,,,,,4,4,,,512,00:00:00,512,00:00:00,,,,billing=512;cpu=512;node=4,,,,,,
,,5695.0,,testing,mpicatnap,,2025-08-01T20:16:08,2025-08-01T20:16:08,2025-08-01T20:23:07,COMPLETED,0:0,,,,2025-08-01T20:16:08,,00:00:00,107264,419,Block,256,,,,,0,,,,,,,,00:00:00,4,,,,,,,4,4,,,256,00:00:00,256,00:00:00,,,,cpu=256;mem=0;node=4,,,,,,
1001,1001,5696,test_user2,testing,test_user2-2HIz,10,2025-08-01T19:04:50,2025-08-01T20:20:01,2025-08-01T20:30:07,TIMEOUT,0:0,1,system_testing,86400,2025-08-01T19:04:50,,00:00:00,775680,606,,,,normal,0,/home/test_user2/stochsimsched,,,,,,,batch-cpu,None,00:00:00,10,,,0:15,,,10M,10,10,01:15:11,2887040,1280,00:00:00,640,00:00:00,,,billing=640;cpu=640;mem=10M;node=10,billing=1280;cpu=1280;node=10,,,SchedMain;StartReceived,,,
,,5696.extern,,testing,extern,,2025-08-01T20:20:01,2025-08-01T20:20:01,2025-08-01T20:30:09,COMPLETED,0:0,,,,2025-08-01T20:20:01,,00:00:00,778240,608,Unknown,10,,,,,0,,,,,,,,00:00:00,10,,,,,,,10,10,,,1280,00:00:00,1280,00:00:00,,,,billing=1280;cpu=1280;node=10,,,,,,
1000,1000,5697,test_user1,testing,test_user1-gZMY,4,2025-08-01T19:04:50,2025-08-01T20:23:07,2025-08-01T20:27:07,TIMEOUT,0:0,1,system_testing,86400,2025-08-01T19:04:50,,00:00:00,184320,240,,,,normal,0,/home/test_user1/stochsimsched,,,,,,,batch-cpu,None,00:00:00,6,,,0:0,,,6M,6,6,01:18:17,1803648,768,00:00:00,384,00:00:00,,,billing=384;cpu=384;mem=6M;node=6,billing=768;cpu=768;node=6,,,SchedMain;StartReceived,,,
