UID,JobIDRaw,JobName,TimelimitRaw,Submit,Start,End,State,Priority,ElapsedRaw,QOS,Restarts,NNodes,Planned,Flags
1010,5682,test_user11-m4Qq,1,2025-08-01T19:04:41,2025-08-01T19:04:42,2025-08-01T19:06:06,TIMEOUT,86400,84,normal,0,2,00:00:01,SchedMain;StartReceived
1016,5684,test_user17-xwjX,6,2025-08-01T19:04:41,2025-08-01T19:04:42,2025-08-01T19:07:24,COMPLETED,86400,162,normal,0,5,00:00:01,SchedMain;StartReceived
1014,5685,test_user15-QRKA,2,2025-08-01T19:04:41,2025-08-01T19:04:42,2025-08-01T19:07:06,TIMEOUT,86400,144,normal,0,6,00:00:01,SchedMain;StartReceived
1011,5688,test_user12-vH0j,9,2025-08-01T19:04:42,2025-08-01T19:05:05,2025-08-01T19:09:41,COMPLETED,86400,276,normal,0,2,00:00:23,SchedBackfill;StartReceived
1018,5689,test_user19-UBfe,3,2025-08-01T19:04:42,2025-08-01T20:08:40,2025-08-01T20:12:07,TIMEOUT,86400,207,normal,0,10,01:03:58,SchedMain;StartReceived
1013,5690,test_user14-47hf,7,2025-08-01T19:04:42,2025-08-01T20:12:10,2025-08-01T20:16:50,COMPLETED,86400,280,normal,0,10,01:07:27,SchedMain;StartReceived
1017,5691,test_user18-iOG2,8,2025-08-01T19:04:43,2025-08-01T20:09:37,2025-08-01T20:14:50,COMPLETED,86400,313,normal,0,7,01:04:54,SchedBackfill;StartReceived
1003,5692,test_user4-TdI6,8,2025-08-01T19:04:50,2025-08-01T20:14:50,2025-08-01T20:19:53,COMPLETED,86400,303,normal,0,4,01:10:00,SchedMain;StartReceived
1005,5694,test_user6-PsLP,9,2025-08-01T19:04:50,2025-08-01T20:16:50,2025-08-01T20:20:01,COMPLETED,86400,191,normal,0,9,01:12:00,SchedMain;StartReceived
1002,5695,test_user3-iyxX,10,2025-08-01T19:04:50,2025-08-01T20:16:08,2025-08-01T20:23:07,COMPLETED,86400,419,normal,0,4,01:11:18,SchedBackfill;StartReceived
1001,5696,test_user2-2HIz,10,2025-08-01T19:04:50,2025-08-01T20:20:01,2025-08-01T20:30:07,TIMEOUT,86400,606,normal,0,10,01:15:11,SchedMain;StartReceived
