UID,GID,JobIDRaw,Group,Account,JobName,TimelimitRaw,Submit,Start,End,State,ExitCode,ReservationId,Reservation,Priority,Eligible,Constraints,SystemCPU,CPUTimeRAW,ElapsedRaw,Layout,NTasks,QOSREQ,QOS,Restarts,WorkDir,ConsumedEnergyRaw,FailedNode,AveDiskRead,AveDiskWrite,MaxDiskRead,MaxDiskWrite,Partition,Reason,Suspended,AllocNodes,AveRSS,MaxRSS,DerivedExitCode,AveVMSize,MaxVMSize,ReqMem,ReqNodes,NNodes,Planned,PlannedCPURAW,NCPUS,UserCPU,ReqCPUS,TotalCPU,TRESUsageInTot,TRESUsageOutTot,ReqTRES,AllocTRES,TRESUsageInMax,TRESUsageOutMax,Flags,Comment,SystemComment,AdminComment
1016,1016,2458,test_user17,testing,test_user17-KM2K,6,2025-07-30T10:02:21,2025-07-30T10:02:22,2025-07-30T10:05:35,COMPLETED,0:0,1,system_testing,86400,2025-07-30T10:02:21,,00:00:00,247040,193,,,,normal,0,/home/test_user17/stochsimsched,,,,,,,batch-cpu,None,00:00:00,10,,,0:0,,,10M,10,10,00:00:01,640,1280,00:00:00,640,00:00:00,,,billing=640;cpu=640;mem=10M;node=10,billing=1280;cpu=1280;node=10,,,SchedMain;StartReceived,,,
,,2458.batch,,testing,batch,,2025-07-30T10:02:22,2025-07-30T10:02:22,2025-07-30T10:05:35,COMPLETED,0:0,,,,2025-07-30T10:02:22,,00:00:00,12352,193,Unknown,1,,,,,0,,,,,,,,00:00:00,1,,,,,,,1,1,,,64,00:00:00,64,00:00:00,,,,cpu=64;mem=0;node=1,,,,,,
,,2458.extern,,testing,extern,,2025-07-30T10:02:22,2025-07-30T10:02:22,2025-07-30T10:05:35,COMPLETED,0:0,,,,2025-07-30T10:02:22,,00:00:00,247040,193,Unknown,10,,,,,0,,,,,,,,00:00:00,10,,,,,,,10,10,,,1280,00:00:00,1280,00:00:00,,,,billing=1280;cpu=1280;node=10,,,,,,
,,2458.0,,testing,mpicatnap,,2025-07-30T10:02:22,2025-07-30T10:02:22,2025-07-30T10:05:35,COMPLETED,0:0,,,,2025-07-30T10:02:22,,00:00:00,123520,193,Block,640,,,,,0,,,,,,,,00:00:00,10,,,,,,,10,10,,,640,00:00:00,640,00:00:00,,,,cpu=640;mem=0;node=10,,,,,,
1019,1019,2459,test_user20,testing,test_user20-XJ2p,15,2025-07-30T10:02:21,2025-07-30T10:06:20,2025-07-30T10:09:58,COMPLETED,0:0,1,system_testing,86400,2025-07-30T10:02:21,,00:00:00,362752,218,,,,normal,0,/home/test_user20/stochsimsched,,,,,,,batch-cpu,None,00:00:00,13,,,0:0,,,13M,13,13,00:03:59,198848,1664,00:00:00,832,00:00:00,,,billing=832;cpu=832;mem=13M;node=13,billing=1664;cpu=1664;node=13,,,SchedMain;StartReceived,,,
,,2459.batch,,testing,batch,,2025-07-30T10:06:20,2025-07-30T10:06:20,2025-07-30T10:09:58,COMPLETED,0:0,,,,2025-07-30T10:06:20,,00:00:00,13952,218,Unknown,1,,,,,0,,,,,,,,00:00:00,1,,,,,,,1,1,,,64,00:00:00,64,00:00:00,,,,cpu=64;mem=0;node=1,,,,,,
,,2459.extern,,testing,extern,,2025-07-30T10:06:20,2025-07-30T10:06:20,2025-07-30T10:09:58,COMPLETED,0:0,,,,2025-07-30T10:06:20,,00:00:00,362752,218,Unknown,13,,,,,0,,,,,,,,00:00:00,13,,,,,,,13,13,,,1664,00:00:00,1664,00:00:00,,,,billing=1664;cpu=1664;node=13,,,,,,
,,2459.0,,testing,mpicatnap,,2025-07-30T10:06:20,2025-07-30T10:06:20,2025-07-30T10:09:58,COMPLETED,0:0,,,,2025-07-30T10:06:20,,00:00:00,181376,218,Block,832,,,,,0,,,,,,,,00:00:00,13,,,,,,,13,13,,,832,00:00:00,832,00:00:00,,,,cpu=832;mem=0;node=13,,,,,,
1017,1017,2460,test_user18,testing,test_user18-8ylT,13,2025-07-30T10:02:21,2025-07-30T10:16:45,2025-07-30T10:25:01,COMPLETED,0:0,1,system_testing,86400,2025-07-30T10:02:21,,00:00:00,1269760,496,,,,normal,0,/home/test_user18/stochsimsched,,,,,,,batch-cpu,None,00:00:00,20,,,0:0,,,20M,20,20,00:14:24,1105920,2560,00:00:00,1280,00:00:00,,,billing=1280;cpu=1280;mem=20M;node=20,billing=2560;cpu=2560;node=20,,,SchedMain;StartReceived,,,
,,2460.batch,,testing,batch,,2025-07-30T10:16:45,2025-07-30T10:16:45,2025-07-30T10:25:01,COMPLETED,0:0,,,,2025-07-30T10:16:45,,00:00:00,31744,496,Unknown,1,,,,,0,,,,,,,,00:00:00,1,,,,,,,1,1,,,64,00:00:00,64,00:00:00,,,,cpu=64;mem=0;node=1,,,,,,
