UID,GID,JobIDRaw,Group,Account,JobName,TimelimitRaw,Submit,Start,End,State,ExitCode,ReservationId,Reservation,Priority,Eligible,Constraints,SystemCPU,CPUTimeRAW,ElapsedRaw,Layout,NTasks,QOSREQ,QOS,Restarts,WorkDir,ConsumedEnergyRaw,FailedNode,AveDiskRead,AveDiskWrite,MaxDiskRead,MaxDiskWrite,Partition,Reason,Suspended,AllocNodes,AveRSS,MaxRSS,DerivedExitCode,AveVMSize,MaxVMSize,ReqMem,ReqNodes,NNodes,Planned,PlannedCPURAW,NCPUS,UserCPU,ReqCPUS,TotalCPU,TRESUsageInTot,TRESUsageOutTot,ReqTRES,AllocTRES,TRESUsageInMax,TRESUsageOutMax,Flags,Comment,SystemComment,AdminComment
1002,1002,5281,test_user3,testing,test_user3-tdxU,2,2025-08-01T09:48:50,2025-08-01T09:48:51,2025-08-01T09:51:03,TIMEOUT,0:0,1,system_testing,86400,2025-08-01T09:48:50,,00:00:00,50688,132,,,,normal,0,/home/test_user3/stochsimsched,,,,,,,batch-cpu,None,00:00:00,3,,,0:15,,,3M,3,3,00:00:01,192,384,00:00:00,192,00:00:00,,,billing=192;cpu=192;mem=3M;node=3,billing=384;cpu=384;node=3,,,SchedMain;StartReceived,,,
,,5281.extern,,testing,extern,,2025-08-01T09:48:51,2025-08-01T09:48:51,2025-08-01T09:51:06,COMPLETED,0:0,,,,2025-08-01T09:48:51,,00:00:00,51840,135,Unknown,3,,,,,0,,,,,,,,00:00:00,3,,,,,,,3,3,,,384,00:00:00,384,00:00:00,,,,billing=384;cpu=384;node=3,,,,,,
1004,1004,5282,test_user5,testing,test_user5-WhKK,3,2025-08-01T09:48:50,2025-08-01T09:48:51,2025-08-01T09:50:55,COMPLETED,0:0,1,system_testing,86400,2025-08-01T09:48:50,,00:00:00,142848,124,,,,normal,0,/home/test_user5/stochsimsched,,,,,,,batch-cpu,None,00:00:00,9,,,0:0,,,9M,9,9,00:00:01,576,1152,00:00:00,576,00:00:00,,,billing=576;cpu=576;mem=9M;node=9,billing=1152;cpu=1152;node=9,,,SchedMain;StartReceived,,,
,,5282.batch,,testing,batch,,2025-08-01T09:48:51,2025-08-01T09:48:51,2025-08-01T09:50:55,COMPLETED,0:0,,,,2025-08-01T09:48:51,,00:00:00,7936,124,Unknown,1,,,,,0,,,,,,,,00:00:00,1,,,,,,,1,1,,,64,00:00:00,64,00:00:00,,,,cpu=64;mem=0;node=1,,,,,,
,,5282.extern,,testing,extern,,2025-08-01T09:48:51,2025-08-01T09:48:51,2025-08-01T09:50:55,COMPLETED,0:0,,,,2025-08-01T09:48:51,,00:00:00,142848,124,Unknown,9,,,,,0,,,,,,,,00:00:00,9,,,,,,,9,9,,,1152,00:00:00,1152,00:00:00,,,,billing=1152;cpu=1152;node=9,,,,,,
,,5282.0,,testing,mpicatnap,,2025-08-01T09:48:51,2025-08-01T09:48:51,2025-08-01T09:50:55,COMPLETED,0:0,,,,2025-08-01T09:48:51,,00:00:00,71424,124,Block,576,,,,,0,,,,,,,,00:00:00,9,,,,,,,9,9,,,576,00:00:00,576,00:00:00,,,,cpu=576;mem=0;node=9,,,,,,
1000,1000,5283,test_user1,testing,test_user1-fZMo,3,2025-08-01T09:48:50,2025-08-01T09:48:51,2025-08-01T09:51:20,COMPLETED,0:0,1,system_testing,86400,2025-08-01T09:48:50,,00:00:00,76288,149,,,,normal,0,/home/test_user1/stochsimsched,,,,,,,batch-cpu,None,00:00:00,4,,,0:0,,,4M,4,4,00:00:01,256,512,00:00:00,256,00:00:00,,,billing=256;cpu=256;mem=4M;node=4,billing=512;cpu=512;node=4,,,SchedMain;StartReceived,,,
,,5283.batch,,testing,batch,,2025-08-01T09:48:51,2025-08-01T09:48:51,2025-08-01T09:51:20,COMPLETED,0:0,,,,2025-08-01T09:48:51,,00:00:00,9536,149,Unknown,1,,,,,0,,,,,,,,00:00:00,1,,,,,,,1,1,,,64,00:00:00,64,00:00:00,,,,cpu=64;mem=0;node=1,,,,,,
,,5283.extern,,testing,extern,,2025-08-01T09:48:51,2025-08-01T09:48:51,2025-08-01T09:51:20,COMPLETED,0:0,,,,2025-08-01T09:48:51,,00:00:00,76288,149,Unknown,4,,,,,0,,,,,,,,00:00:00,4,,,,,,,4,4,,,512,00:00:00,512,00:00:00,,,,billing=512;cpu=512;node=4,,,,,,
,,5283.0,,testing,mpicatnap,,2025-08-01T09:48:51,2025-08-01T09:48:51,2025-08-01T09:51:20,COMPLETED,0:0,,,,2025-08-01T09:48:51,,00:00:00,38144,149,Block,256,,,,,0,,,,,,,,00:00:00,4,,,,,,,4,4,,,256,00:00:00,256,00:00:00,,,,cpu=256;mem=0;node=4,,,,,,
1007,1007,5284,test_user8,testing,test_user8-R6tI,10,2025-08-01T09:48:50,2025-08-01T09:48:51,2025-08-01T09:54:51,COMPLETED,0:0,1,system_testing,86400,2025-08-01T09:48:50,,00:00:00,184320,360,,,,normal,0,/home/test_user8/stochsimsched,,,,,,,batch-cpu,None,00:00:00,4,,,0:0,,,4M,4,4,00:00:01,256,512,00:00:00,256,00:00:00,,,billing=256;cpu=256;mem=4M;node=4,billing=512;cpu=512;node=4,,,SchedMain;StartReceived,,,
,,5284.batch,,testing,batch,,2025-08-01T09:48:51,2025-08-01T09:48:51,2025-08-01T09:54:51,COMPLETED,0:0,,,,2025-08-01T09:48:51,,00:00:00,23040,360,Unknown,1,,,,,0,,,,,,,,00:00:00,1,,,,,,,1,1,,,64,00:00:00,64,00:00:00,,,,cpu=64;mem=0;node=1,,,,,,
,,5284.extern,,testing,extern,,2025-08-01T09:48:51,2025-08-01T09:48:51,2025-08-01T09:54:52,COMPLETED,0:0,,,,2025-08-01T09:48:51,,00:00:00,184832,361,Unknown,4,,,,,0,,,,,,,,00:00:00,4,,,,,,,4,4,,,512,00:00:00,512,00:00:00,,,,billing=512;cpu=512;node=4,,,,,,
,,5284.0,,testing,mpicatnap,,2025-08-01T09:48:51,2025-08-01T09:48:51,2025-08-01T09:54:51,COMPLETED,0:0,,,,2025-08-01T09:48:51,,00:00:00,92160,360,Block,256,,,,,0,,,,,,,,00:00:00,4,,,,,,,4,4,,,256,00:00:00,256,00:00:00,,,,cpu=256;mem=0;node=4,,,,,,
1006,1006,5285,test_user7,testing,test_user7-lSIX,2,2025-08-01T09:48:50,2025-08-01T10:02:42,2025-08-01T10:05:02,TIMEOUT,0:0,1,system_testing,86400,2025-08-01T09:48:50,,00:00:00,179200,140,,,,normal,0,/home/test_user7/stochsimsched,,,,,,,batch-cpu,None,00:00:00,10,,,0:0,,,10M,10,10,00:13:52,532480,1280,00:00:00,640,00:00:00,,,billing=640;cpu=640;mem=10M;node=10,billing=1280;cpu=1280;node=10,,,SchedMain;StartReceived,,,
,,5285.batch,,testing,batch,,2025-08-01T10:02:42,2025-08-01T10:02:42,2025-08-01T10:05:02,COMPLETED,0:0,,,,2025-08-01T10:02:42,,00:00:00,8960,140,Unknown,1,,,,,0,,,,,,,,00:00:00,1,,,,,,,1,1,,,64,00:00:00,64,00:00:00,,,,cpu=64;mem=0;node=1,,,,,,
,,5285.extern,,testing,extern,,2025-08-01T10:02:42,2025-08-01T10:02:42,2025-08-01T10:05:02,COMPLETED,0:0,,,,2025-08-01T10:02:42,,00:00:00,179200,140,Unknown,10,,,,,0,,,,,,,,00:00:00,10,,,,,,,10,10,,,1280,00:00:00,1280,00:00:00,,,,billing=1280;cpu=1280;node=10,,,,,,
