UID,GID,JobIDRaw,Group,Account,JobName,TimelimitRaw,Submit,Start,End,State,ExitCode,ReservationId,Reservation,Priority,Eligible,Constraints,SystemCPU,CPUTimeRAW,ElapsedRaw,Layout,NTasks,QOSREQ,QOS,Restarts,WorkDir,ConsumedEnergyRaw,FailedNode,AveDiskRead,AveDiskWrite,MaxDiskRead,MaxDiskWrite,Partition,Reason,Suspended,AllocNodes,AveRSS,MaxRSS,DerivedExitCode,AveVMSize,MaxVMSize,ReqMem,ReqNodes,NNodes,Planned,PlannedCPURAW,NCPUS,UserCPU,ReqCPUS,TotalCPU,TRESUsageInTot,TRESUsageOutTot,ReqTRES,AllocTRES,TRESUsageInMax,TRESUsageOutMax,Flags,Comment,SystemComment,AdminComment
1002,1002,5281,test_user3,testing,test_user3-tdxU,2,2025-08-01T09:48:50,2025-08-01T09:48:51,2025-08-01T09:51:03,TIMEOUT,0:0,1,system_testing,86400,2025-08-01T09:48:50,,00:00:00,50688,132,,,,normal,0,/home/test_user3/stochsimsched,,,,,,,batch-cpu,None,00:00:00,3,,,0:15,,,3M,3,3,00:00:01,192,384,00:00:00,192,00:00:00,,,billing=192;cpu=192;mem=3M;node=3,billing=384;cpu=384;node=3,,,SchedMain;StartReceived,,,
1004,1004,5282,test_user5,testing,test_user5-WhKK,3,2025-08-01T09:48:50,2025-08-01T09:48:51,2025-08-01T09:50:55,COMPLETED,0:0,1,system_testing,86400,2025-08-01T09:48:50,,00:00:00,142848,124,,,,normal,0,/home/test_user5/stochsimsched,,,,,,,batch-cpu,None,00:00:00,9,,,0:0,,,9M,9,9,00:00:01,576,1152,00:00:00,576,00:00:00,,,billing=576;cpu=576;mem=9M;node=9,billing=1152;cpu=1152;node=9,,,SchedMain;StartReceived,,,
1000,1000,5283,test_user1,testing,test_user1-fZMo,3,2025-08-01T09:48:50,2025-08-01T09:48:51,2025-08-01T09:51:20,COMPLETED,0:0,1,system_testing,86400,2025-08-01T09:48:50,,00:00:00,76288,149,,,,normal,0,/home/test_user1/stochsimsched,,,,,,,batch-cpu,None,00:00:00,4,,,0:0,,,4M,4,4,00:00:01,256,512,00:00:00,256,00:00:00,,,billing=256;cpu=256;mem=4M;node=4,billing=512;cpu=512;node=4,,,SchedMain;StartReceived,,,
1007,1007,5284,test_user8,testing,test_user8-R6tI,10,2025-08-01T09:48:50,2025-08-01T09:48:51,2025-08-01T09:54:51,COMPLETED,0:0,1,system_testing,86400,2025-08-01T09:48:50,,00:00:00,184320,360,,,,normal,0,/home/test_user8/stochsimsched,,,,,,,batch-cpu,None,00:00:00,4,,,0:0,,,4M,4,4,00:00:01,256,512,00:00:00,256,00:00:00,,,billing=256;cpu=256;mem=4M;node=4,billing=512;cpu=512;node=4,,,SchedMain;StartReceived,,,
1006,1006,5285,test_user7,testing,test_user7-lSIX,2,2025-08-01T09:48:50,2025-08-01T10:02:42,2025-08-01T10:05:02,TIMEOUT,0:0,1,system_testing,86400,2025-08-01T09:48:50,,00:00:00,179200,140,,,,normal,0,/home/test_user7/stochsimsched,,,,,,,batch-cpu,None,00:00:00,10,,,0:0,,,10M,10,10,00:13:52,532480,1280,00:00:00,640,00:00:00,,,billing=640;cpu=640;mem=10M;node=10,billing=1280;cpu=1280;node=10,,,SchedMain;StartReceived,,,
1005,1005,5286,test_user6,testing,test_user6-g2bv,6,2025-08-01T09:48:50,2025-08-01T10:05:33,2025-08-01T10:11:33,TIMEOUT,0:0,1,system_testing,86400,2025-08-01T09:48:50,,00:00:00,322560,360,,,,normal,0,/home/test_user6/stochsimsched,,,,,,,batch-cpu,None,00:00:00,7,,,0:15,,,7M,7,7,00:16:43,449344,896,00:00:00,448,00:00:00,,,billing=448;cpu=448;mem=7M;node=7,billing=896;cpu=896;node=7,,,SchedMain;StartReceived,,,
1008,1008,5287,test_user9,testing,test_user9-qGmk,5,2025-08-01T09:48:50,2025-08-01T10:02:10,2025-08-01T10:04:29,COMPLETED,0:0,1,system_testing,86400,2025-08-01T09:48:50,,00:00:00,71168,139,,,,normal,0,/home/test_user9/stochsimsched,,,,,,,batch-cpu,None,00:00:00,4,,,0:0,,,4M,4,4,00:13:20,204800,512,00:00:00,256,00:00:00,,,billing=256;cpu=256;mem=4M;node=4,billing=512;cpu=512;node=4,,,SchedBackfill;StartReceived,,,
1001,1001,5288,test_user2,testing,test_user2-kzcw,10,2025-08-01T09:48:50,2025-08-01T10:55:07,2025-08-01T11:03:31,COMPLETED,0:0,1,system_testing,86400,2025-08-01T09:48:51,,00:00:00,387072,504,,,,normal,0,/home/test_user2/stochsimsched,,,,,,,batch-cpu,None,00:00:00,6,,,0:0,,,6M,6,6,01:06:16,1526784,768,00:00:00,384,00:00:00,,,billing=384;cpu=384;mem=6M;node=6,billing=768;cpu=768;node=6,,,SchedMain;StartReceived,,,
1009,1009,5289,test_user10,testing,test_user10-FWsM,8,2025-08-01T09:48:51,2025-08-01T10:56:57,2025-08-01T11:04:35,COMPLETED,0:0,1,system_testing,86400,2025-08-01T09:48:51,,00:00:00,234496,458,,,,normal,0,/home/test_user10/stochsimsched,,,,,,,batch-cpu,None,00:00:00,4,,,0:0,,,4M,4,4,01:08:06,1046016,512,00:00:00,256,00:00:00,,,billing=256;cpu=256;mem=4M;node=4,billing=512;cpu=512;node=4,,,SchedMain;StartReceived,,,
1003,1003,5290,test_user4,testing,test_user4-7tSV,9,2025-08-01T09:48:51,2025-08-01T09:55:10,2025-08-01T10:01:59,COMPLETED,0:0,1,system_testing,86400,2025-08-01T09:48:51,,00:00:00,52352,409,,,,normal,0,/home/test_user4/stochsimsched,,,,,,,batch-cpu,None,00:00:00,1,,,0:0,,,1M,1,1,00:06:19,24256,128,00:00:00,64,00:00:00,,,billing=64;cpu=64;mem=1M;node=1,billing=128;cpu=128;node=1,,,SchedBackfill;StartReceived,,,
